Feature,Model,CV F1 Mean,CV F1 Std,CV F1 Min,CV F1 Max,CV Acc,CV AUC,CV Rec Dep,CV Prec Dep
All3,SVM_100,0.562,0.0436,0.4982,0.6182,0.6081,0.4073,0.4786,0.4857
MFCC+W2V,LR_1,0.56,0.146,0.4048,0.7529,0.5881,0.4643,0.5286,0.4881
Spec,ET_300,0.5591,0.0913,0.4505,0.7136,0.6071,0.4846,0.6286,0.4913
Spec,GBM_200,0.5564,0.1082,0.3484,0.6541,0.5971,0.4782,0.4857,0.5944
MFCC+Spec,SVM_10,0.5561,0.0871,0.3939,0.637,0.5767,0.4371,0.5679,0.4898
MFCC+Spec,GBM_100,0.5554,0.1648,0.3,0.7333,0.5767,0.513,0.5107,0.508
MFCC+Spec,LR_1,0.5544,0.0877,0.4133,0.6786,0.5971,0.4677,0.3821,0.4922
Spec,SVM_100,0.5527,0.0696,0.4167,0.6062,0.5986,0.4789,0.4821,0.575
Spec,RF_300,0.5526,0.1,0.4048,0.6636,0.5967,0.4499,0.4286,0.4685
MFCC+W2V,SVM_10,0.5514,0.0933,0.4048,0.6541,0.5981,0.4599,0.4036,0.4706
MFCC+Spec,SVM_100,0.5496,0.0814,0.4357,0.6541,0.6071,0.4416,0.4286,0.4611
All3,SVM_10,0.5384,0.0659,0.4357,0.6111,0.5786,0.4242,0.4536,0.4373
Spec,GBM_100,0.5314,0.1341,0.2929,0.7083,0.5771,0.4535,0.3821,0.5087
Spec,MLP_s,0.5292,0.079,0.4505,0.6786,0.6071,0.3983,0.2786,0.56
MFCC,LR_1,0.5186,0.094,0.3732,0.6429,0.5495,0.4306,0.5786,0.4503
All3,LR_1,0.5073,0.0993,0.4048,0.6429,0.5495,0.4174,0.4036,0.4281
