scenario,model,best_K,best_bal,best_cfg_idx,cv_f1_mean,cv_f1_std,cv_acc_mean,test_f1,test_acc,test_auc,overfit_gap,time_s,y_pred,y_prob
S3_Wav2Vec,SVM,ALL,smoteenn,1,0.6739,0.0494,0.7309,0.6491,0.65,0.64,-0.0248,28.7,"[1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 0]","[0.5081763538964592, 0.022958411920161185, 0.14787879706322712, 0.9201227270817374, 0.1451515392220764, 0.11106943074918166, 0.6785999101342444, 0.07448081630947312, 0.19636405277259128, 0.9657322740678569, 0.14643450845562006, 0.830687591538551, 0.3894682385526367, 0.2796477444211598, 0.14965718616697846, 0.24804116812727178, 0.8893622994350991, 0.9695114229500444, 0.9923890984270765, 0.02638969421954758]"
S3_Wav2Vec,XGBoost,70,smote,1,0.7373,0.0758,0.7544,0.596,0.6,0.58,-0.1413,29.7,"[1, 0, 1, 1, 0, 0, 0, 1, 0, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1, 1]","[0.6397184133529663, 0.19818001985549927, 0.3649037182331085, 0.5347325801849365, 0.04560786485671997, 0.06332732737064362, 0.08356596529483795, 0.7193506956100464, 0.1753002405166626, 0.9149801731109619, 0.05214186757802963, 0.5383358001708984, 0.7198757529258728, 0.2159358561038971, 0.10922372341156006, 0.09094655513763428, 0.851345419883728, 0.39854130148887634, 0.9554567337036133, 0.23695799708366394]"
S4_Fusion,LogisticRegression,50,smoteenn,10,0.669,0.0965,0.7088,0.5604,0.6,0.56,-0.1085,163.2,"[1, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1]","[0.894282549985069, 0.3980913087259781, 0.14391744657850217, 0.48493208983182645, 0.06664643031612695, 0.6608718560810883, 0.7123201086558435, 0.14544215572572686, 0.32387702309147415, 0.8010872760003735, 0.45553813060535486, 0.6412229098995094, 0.32830978561185664, 0.6772786556172772, 0.02635694160782204, 0.19942218132113818, 0.8485025439660456, 0.8964351150617759, 0.7577167321880223, 0.35833417852855]"
S4_Fusion,RandomForest,50,smote,2,0.7782,0.0472,0.8176,0.596,0.6,0.52,-0.1822,172.9,"[1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 1, 0]","[0.536, 0.246, 0.456, 0.51, 0.292, 0.436, 0.284, 0.452, 0.378, 0.536, 0.25, 0.248, 0.468, 0.484, 0.286, 0.33, 0.62, 0.498, 0.59, 0.39]"
S4_Fusion,SVM,50,smote,1,0.7035,0.059,0.7331,0.5833,0.6,0.55,-0.1201,102.7,"[1, 0, 0, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1]","[0.5414725961308905, 0.30977489653100565, 0.3695250876495756, 0.5, 0.29115413351610797, 0.47860062346686094, 0.30012511978053874, 0.4182159175146522, 0.4185092970141734, 0.6625227929071279, 0.3751365186454091, 0.25709573392739254, 0.4397868986875565, 0.42130774434144785, 0.3463107248540439, 0.3961577753849862, 0.6740543061356015, 0.5871990976125079, 0.6367304499093163, 0.4138901632884071]"
S4_Fusion,XGBoost,30,smote,5,0.8164,0.0791,0.8412,0.4133,0.45,0.32,-0.4031,80.7,"[1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0]","[0.9111446142196655, 0.007848541252315044, 0.49532684683799744, 0.9765268564224243, 0.3911178410053253, 0.9770398139953613, 0.28733959794044495, 0.7011353373527527, 0.5422147512435913, 0.32485058903694153, 0.004906141199171543, 0.0020119778346270323, 0.4303300976753235, 0.3914402425289154, 0.5462647080421448, 0.03217429667711258, 0.7380762100219727, 0.1875411570072174, 0.9763672947883606, 0.10331816226243973]"
S5_FusionEng,LogisticRegression,50,smoteenn,2,0.6696,0.0577,0.7081,0.6267,0.65,0.55,-0.0429,534.6,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0]","[0.9909189600432018, 0.10969660533006406, 0.04355902337881047, 0.8198244978973058, 0.38120070612319584, 0.628126618497316, 0.3857616911013369, 0.01801222217763113, 0.558644029066085, 0.8053437557594024, 0.4104895342776626, 0.23591617690609665, 0.08706013253604006, 0.8397061604700926, 0.022576669855412738, 0.3885871981441996, 0.9328500721718376, 0.9943896276368264, 0.9378222990150383, 0.05859004192147633]"
S5_FusionEng,RandomForest,100,smote,0,0.8366,0.0342,0.8537,0.4949,0.5,0.445,-0.3417,353.7,"[1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 1, 1]","[0.666, 0.34, 0.482, 0.616, 0.182, 0.526, 0.264, 0.598, 0.392, 0.502, 0.166, 0.226, 0.482, 0.532, 0.284, 0.284, 0.548, 0.528, 0.758, 0.438]"
S5_FusionEng,SVM,50,smote,1,0.697,0.0604,0.7081,0.697,0.7,0.68,-0.0,351.1,"[1, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1]","[0.6132236960313783, 0.22300334882244643, 0.2822108622727424, 0.5794731755796726, 0.2814681978028331, 0.5079009018206009, 0.2845640948441476, 0.3800216524996626, 0.3856979049311147, 0.5385813306383102, 0.29928676660214965, 0.20798299094615857, 0.4645662502880403, 0.6227668498302881, 0.3913419110648863, 0.41857133351474707, 0.7176441992466709, 0.709610527928275, 0.6422652772793582, 0.5]"
S5_FusionEng,XGBoost,80,smote,1,0.8168,0.0879,0.8404,0.5,0.5,0.46,-0.3168,257.5,"[1, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 1]","[0.9770834445953369, 0.19499830901622772, 0.7913301587104797, 0.9570856690406799, 0.018577132374048233, 0.8876956105232239, 0.08856453001499176, 0.788249671459198, 0.586097776889801, 0.44259852170944214, 0.03264530748128891, 0.0213696900755167, 0.5248957276344299, 0.6505855321884155, 0.36585238575935364, 0.10739678144454956, 0.8635369539260864, 0.9128196239471436, 0.9885334372520447, 0.6288124918937683]"
S6_Wav2VecEng,LogisticRegression,ALL,smote,12,0.6227,0.0702,0.6588,0.6491,0.65,0.72,0.0264,51.6,"[1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 1]","[0.9999988005241086, 0.5993208476965188, 8.593118386543722e-16, 0.8547464072398973, 5.438986901545698e-11, 5.458267667984021e-05, 0.0009713786273447415, 0.001286551736805462, 1.3526019306546874e-06, 0.9844372839167539, 0.9942293866580111, 1.8868571173794642e-07, 0.06032640611626347, 0.10884543757907449, 0.9999999951398546, 0.9986503988934307, 0.9999883974597346, 0.9940873469436106, 0.017273400803383233, 0.14185177853512476]"
S6_Wav2VecEng,RandomForest,ALL,smote,5,0.6916,0.063,0.7066,0.5396,0.55,0.51,-0.1519,146.2,"[1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 1, 0]","[0.46, 0.336, 0.348, 0.578, 0.18, 0.368, 0.314, 0.4, 0.266, 0.77, 0.244, 0.454, 0.35, 0.316, 0.278, 0.34, 0.608, 0.502, 0.784, 0.27]"
S6_Wav2VecEng,SVM,80,smote,5,0.6936,0.117,0.7088,0.6419,0.65,0.64,-0.0517,25.5,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 1, 1, 1, 0]","[0.2714395742944134, 0.5469908065566611, 0.1934776775203063, 0.378576798660285, 0.11766825817084883, 0.034393266735344576, 0.09639391119663519, 0.3762051040345473, 0.30235395508821844, 0.5246999028613362, 0.31515987158903713, 0.40845689188997547, 0.2077739159526343, 0.46475718724456044, 0.20592618918549035, 0.15898067583143025, 0.8064533679010253, 0.6904160989871595, 0.47542453950658964, 0.18981697196818093]"
S6_Wav2VecEng,XGBoost,ALL,smote,2,0.7092,0.0753,0.7301,0.6,0.6,0.51,-0.1092,28.1,"[1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1, 0]","[0.6731124520301819, 0.24589881300926208, 0.4505123198032379, 0.7614344358444214, 0.037946056574583054, 0.35245537757873535, 0.10377144813537598, 0.352665513753891, 0.22692722082138062, 0.8615623712539673, 0.06799615174531937, 0.5153211355209351, 0.4257018268108368, 0.4181733727455139, 0.09296470135450363, 0.21649274230003357, 0.9664610028266907, 0.5490793585777283, 0.9506992697715759, 0.08584752678871155]"
S1_Spectrogram,WtdVote_Sq,30,mixed,-1,0.7445,0.1077,0.7669,0.4792,0.5,0.37,-0.2654,4.5,"[1, 0, 1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 1, 1, 1]","[0.8800295690427754, 0.4286584939385518, 0.4767335574578018, 0.6709596172468573, 0.22856202536602827, 0.8187526269777485, 0.37065331774481114, 0.5925289385963869, 0.5313781577191939, 0.7721917151430511, 0.4710625369093057, 0.22499930925626854, 0.24650893227874948, 0.8344362558450857, 0.1984516194428554, 0.7845037048268568, 0.4491865229234376, 0.5802326727133886, 0.5456066216430705, 0.47601452386039045]"
S2_MFCC,WtdVote_Sq,30,mixed,-1,0.766,0.0291,0.8044,0.6419,0.65,0.51,-0.1241,4.6,"[1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1]","[0.7124860046830129, 0.46001275433840977, 0.576542783077357, 0.41368461491282893, 0.3032045718432274, 0.38859657853809415, 0.32690135749997873, 0.3842761758678761, 0.3745659197453953, 0.49050191638746155, 0.21877051414932314, 0.24524686567335346, 0.5856160391258961, 0.4239835258313934, 0.3441306914617454, 0.27616902774886026, 0.6105623601497124, 0.5006316632605765, 0.6588751405245606, 0.5107682778552564]"
S3_Wav2Vec,WtdVote_Sq,60,mixed,-1,0.6787,0.0854,0.7184,0.5489,0.55,0.5,-0.1299,4.0,"[1, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 1, 1, 0, 0, 0, 1, 1, 1, 0]","[0.6023274579129317, 0.17656150054588018, 0.33872032749581305, 0.7840488588069778, 0.12280886087964786, 0.17378560870712645, 0.351174429114611, 0.4782762561991978, 0.2645383079850797, 0.8473141981203678, 0.11164475917147548, 0.5535195758254389, 0.45083884833412224, 0.32762574574886466, 0.13870880196101024, 0.28422695347914756, 0.8246536354097096, 0.6569514611117038, 0.8932964629161138, 0.17262418525131462]"
S4_Fusion,WtdVote_Sq,50,mixed,-1,0.7445,0.0955,0.7934,0.52,0.55,0.36,-0.2245,5.3,"[1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0]","[0.7583944636016151, 0.24861111795936522, 0.5266790644331225, 0.6094618336248546, 0.4185058497255766, 0.5547730656649015, 0.38094428295696636, 0.4824746146899178, 0.41285054477803357, 0.556554306076411, 0.2431524390801974, 0.287859887462872, 0.3044912969028051, 0.5662699525846959, 0.2282602828468692, 0.3065225825720472, 0.629781359517043, 0.5228546991062372, 0.7423064169724714, 0.39409077316949626]"
S5_FusionEng,WtdVote_Sq,50,mixed,-1,0.7407,0.0383,0.7684,0.6419,0.65,0.56,-0.0988,11.7,"[1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 0]","[0.8536561473314122, 0.1789236654316037, 0.2926909561715536, 0.6848740143193264, 0.19691541076973515, 0.3971725464975306, 0.22880370071336548, 0.4830505275157625, 0.5075392299912974, 0.37973949049806055, 0.19934171855107405, 0.1206006029039385, 0.5460542867418247, 0.6258343025259209, 0.26317771817073243, 0.2969754573307556, 0.7790407492365182, 0.8218403137870478, 0.7935178761108963, 0.3567272146083906]"
S6_Wav2VecEng,WtdVote_Sq,None,mixed,-1,0.6719,0.0548,0.6824,0.697,0.7,0.63,0.025,11.3,"[1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0]","[0.6361395131086479, 0.3580496423397642, 0.2672272522381137, 0.5973359759338892, 0.09863760045322333, 0.19673501522983589, 0.14499273397289308, 0.27018120359425096, 0.18852761073764948, 0.7296418682795154, 0.4091345787919943, 0.3114906860692358, 0.24379324195117863, 0.3221946515068881, 0.3626482096225967, 0.4037837881164289, 0.7956466546276548, 0.5749623892579974, 0.5835852547537994, 0.15474961393681866]"
