model,best_n,best_cfg_idx,cv_f1,cv_std,oof_thr,test_f1_oof,test_f1_sw,test_auc,y_pred_oof,y_prob,oof_probs,best_cfg,scenario,time_s
LR,30,3,0.6768,0.1397,0.5,0.596,0.7917,0.76,"[1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 1]","[0.5752784952120288, 0.5198821733477256, 0.4252745843350753, 0.48699147013379396, 0.4093630554163335, 0.4416018042036519, 0.4240329698075211, 0.46965418329955344, 0.5183989923716974, 0.471236361679774, 0.499247889797602, 0.4833465827549144, 0.49678779011166385, 0.4904963464430441, 0.5723893790958174, 0.5465838472086291, 0.526608427418902, 0.478509284236543, 0.5026700941923885, 0.5223885958686789]","[0.4568961515637184, 0.439889844086518, 0.44481548034215845, 0.5455698029664944, 0.4977102614837192, 0.43905901388910595, 0.48404049071164823, 0.4913568214724317, 0.43712922056684084, 0.48669839712144586, 0.5299681640279403, 0.4855535967608866, 0.46330708381808505, 0.48262512612516284, 0.49307257698541657, 0.4841197516578076, 0.5113314851860985, 0.5219768925861444, 0.5517963445830013, 0.4455764962181657, 0.4776970158232694, 0.478512558405377, 0.4873724109616316, 0.5254997407912644, 0.5447337574791009, 0.5187422476514848, 0.5051268066394609, 0.4653310241664074, 0.5205383109189138, 0.5015797721051581, 0.4838477761090693, 0.486475542637742, 0.4617811354010051, 0.5100733836828767, 0.5231029525190326, 0.5005414435386746, 0.4717898384709399, 0.5086024894569711, 0.48977790315608793, 0.46992171341190536, 0.4657505711473327, 0.5031431392200848, 0.4497943885474606, 0.523203191137097, 0.5218766565878031, 0.4945814657270226, 0.4831873651742301, 0.5083166746142641, 0.491784619342748, 0.5001040811236032, 0.49078779664954725, 0.5053911555418432, 0.48304417229098795, 0.5395757999517428, 0.5119614251137883, 0.46805526400690933, 0.5019867936860782, 0.4883248440754299, 0.4860594928180307, 0.5158340754322017, 0.5183066240020843, 0.4964472903247317, 0.4421016634173099, 0.4730736893456884, 0.4375262741668174, 0.4742835176065255, 0.4906507350346389, 0.4832722074094707, 0.46929028977937776, 0.45751043729947766, 0.5284441257298534, 0.43771475577252184, 0.5350218747119939, 0.5034712215504085, 0.4933113861523135, 0.4581691864098125, 0.5156398871337962, 0.4913693547576945, 0.5055911732989541, 0.4422210749572155, 0.48517662463984723, 0.45573127304157923]","(0.005, {0: 1, 1: 1.8})",S3_Wav2Vec,123.7
SVM_rbf,30,5,0.5569,0.1304,0.36,0.2929,0.4133,0.25,"[0, 0, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0]","[0.33384015826335317, 0.32944262986413264, 0.3644240801268822, 0.345314988992412, 0.36949178720695, 0.40668080976733156, 0.3849779775631599, 0.3729718664029239, 0.35864524253153207, 0.36462185049376766, 0.35354034272004237, 0.36495327838478053, 0.3498236863640394, 0.3200105391951223, 0.36295796566473065, 0.3374295481883109, 0.30120106132132735, 0.35915914967794993, 0.3317124762264343, 0.34202759778765185]","[0.3746026604568712, 0.3440901026394446, 0.359332816398074, 0.37182241081545303, 0.3544469791679071, 0.35642794244105547, 0.3574590421510362, 0.36577934995762196, 0.3088656105132011, 0.3581611973588915, 0.5926935526153272, 0.366539305654995, 0.48409472121512637, 0.3545971835140843, 0.3391362964453222, 0.362010924943791, 0.35220200006283753, 0.3364449267165421, 0.3331328120707143, 0.3534634801800827, 0.3612991428366649, 0.3546631619907694, 0.35253931103507086, 0.3153207695247279, 0.3176049413922732, 0.38512447638841146, 0.38230911915020604, 0.35906873861469235, 0.3464374646991742, 0.3531183502483405, 0.3496760091158922, 0.36407993701771013, 0.28873771820329525, 0.35206972575524204, 0.45516353992176717, 0.3298847732589711, 0.35509748340055153, 0.3194381236688157, 0.3594122844497812, 0.3561269712963241, 0.3395581657109615, 0.34286843681286916, 0.3391329539570561, 0.3195124049110641, 0.35020622448829575, 0.3642042154789961, 0.33876424778586056, 0.36134809512727856, 0.3576543711045268, 0.3540765751156862, 0.3849815516473432, 0.35189178475982813, 0.3556944261630893, 0.5, 0.3513058569025686, 0.3578684283624948, 0.36031436192961547, 0.3473670389675669, 0.35863251252604245, 0.3531966920807196, 0.3756681227033813, 0.36723261087341735, 0.39313107933944186, 0.35526092960678185, 0.35716106960303146, 0.3477250510221799, 0.36032329525207, 0.3517942343305356, 0.36769976581004105, 0.4006939809952923, 0.3344501525598857, 0.3509973393826395, 0.312056367359841, 0.3811254597786193, 0.33313318130877345, 0.45354268426701605, 0.3813569165916174, 0.3610286117649041, 0.42424553204141613, 0.30903058818245016, 0.3608164409129378, 0.3323539610017462]","(1.0, {0: 1, 1: 1.8})",S3_Wav2Vec,63.7
SVM_lin,30,0,0.6416,0.1457,0.36,0.7,0.798,0.74,"[1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 1, 1, 0, 1, 1]","[0.4795108225081029, 0.3888638299695535, 0.24769174290949297, 0.3493550973515006, 0.2543322829538353, 0.29695972214718086, 0.28707838425117194, 0.3144156472492906, 0.3940880625398915, 0.3463917851522724, 0.35838697827014265, 0.36416371998153435, 0.36303640779699414, 0.35491881294786487, 0.39429244094218724, 0.4082147171533153, 0.4012265144727635, 0.34256522899176595, 0.38729292129014586, 0.3725547483569999]","[0.30668671301446704, 0.273059410828503, 0.27298139676934674, 0.4399123436957136, 0.3747614190433263, 0.2165884315996392, 0.3859575390115288, 0.3703757042907658, 0.19265152275456246, 0.3334513756803448, 0.43003459049027826, 0.3530428479590916, 0.3712433099215696, 0.3589000255217626, 0.2940615596878187, 0.3633480714574313, 0.4041531535323713, 0.3581878090636698, 0.6331456784218816, 0.3179289728118149, 0.34098836380164693, 0.352554399227894, 0.3295628203989935, 0.406254185290135, 0.6193637363103565, 0.4036793837858079, 0.36959054140690845, 0.3400339056660665, 0.4370046265027192, 0.3581339154426269, 0.35638388954774547, 0.33744767757873045, 0.31892214987968387, 0.3780208102783896, 0.4289236432353691, 0.36996568260821827, 0.3542672725630051, 0.3571562550337897, 0.36072385761092635, 0.3469252497907671, 0.3299999183487212, 0.360908359493442, 0.3122240524793822, 0.346206021257671, 0.3620159707106128, 0.35790537516034754, 0.3405581472316919, 0.4516053365614647, 0.34555522452503984, 0.3565217160774938, 0.35465510143736156, 0.36020516821765763, 0.346564935384615, 0.44558242328941644, 0.41970408138764803, 0.2890147353569425, 0.36083303936197214, 0.3637341930207553, 0.3620652064035681, 0.41566300147184065, 0.39279201148184983, 0.35686107565222613, 0.21339770906403457, 0.3468491198332454, 0.3407462852731531, 0.29850267963542626, 0.35596437395451347, 0.35975458289236895, 0.3537532881264748, 0.3065982343841856, 0.4945608444632511, 0.24135754485135938, 0.42203665857212874, 0.40794547741491777, 0.3612587044286836, 0.3683582080127393, 0.38566945839527883, 0.3494601795948814, 0.3698439222771944, 0.22299548816904874, 0.35200321023245745, 0.3109922027655575]","(0.1, 'balanced')",S3_Wav2Vec,63.7
RF,30,8,0.6487,0.0984,0.495,0.5833,0.8,0.75,"[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1]","[0.5667990110983866, 0.5229221994055478, 0.389204628579144, 0.37187632127237996, 0.37373389110889105, 0.29157988995753814, 0.32157578483119853, 0.37959950977292223, 0.41979479757572413, 0.37987462385035453, 0.4491623110224788, 0.3577106225806851, 0.4612449379359337, 0.4659050125437115, 0.44777373761395495, 0.5410611752582629, 0.6288269148120769, 0.37938755300773325, 0.5186454893525817, 0.5849692864797156]","[0.3790493196255315, 0.3750098478519532, 0.48343565269422734, 0.4772628387171226, 0.6405966716784537, 0.5259101952439493, 0.47262070813161394, 0.4297107210011465, 0.2189798574069673, 0.3582748271128853, 0.5806920185096529, 0.4274302935302663, 0.4579560316019798, 0.43144642330608973, 0.5172096569623611, 0.3306413395495913, 0.32538049313486594, 0.5324453473450723, 0.5708931917439141, 0.3209613847978299, 0.5729886495409804, 0.45181757261469896, 0.36493829749544715, 0.49206210652259397, 0.6238135566800661, 0.4875398927549228, 0.6261251539260811, 0.4252636228150933, 0.5332630424710669, 0.3613281232621992, 0.4176613968063112, 0.44872804630105956, 0.5172076255883015, 0.5090897854671309, 0.5523184882003354, 0.4511529686479605, 0.4388105072723997, 0.5886287176550213, 0.38072339237995384, 0.4074595820835393, 0.3286735339446337, 0.5053670447935843, 0.32366400598936396, 0.35756335432583397, 0.4924881217677086, 0.5485675308911561, 0.4776763708208015, 0.6022420760211653, 0.40818763443419015, 0.34369712792956203, 0.4289228450606174, 0.43071042861438175, 0.4930116066986199, 0.6092132829661591, 0.5400858264788366, 0.3406841060455347, 0.5390049456213758, 0.3979479989335313, 0.41796590174637144, 0.507593042016021, 0.5130763540789037, 0.48793241769455725, 0.22598480192486448, 0.36291146158208504, 0.30507293934778607, 0.34721400924699936, 0.4741733167692135, 0.46591885633962277, 0.36278116305048047, 0.3161114236157531, 0.6238829356492932, 0.22170632224027828, 0.45608392948516135, 0.5417594855937685, 0.5319702406322637, 0.27062360023360477, 0.527183167260029, 0.41403986300166884, 0.4750264472865484, 0.3620724352399025, 0.370279950620276, 0.36769125699198296]","(300, 5, 2, 'balanced')",S3_Wav2Vec,203.5
XGB,35,25,0.5889,0.0813,0.34,0.7494,0.7494,0.76,"[1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1]","[0.7825241684913635, 0.5963948965072632, 0.31334370374679565, 0.15210819244384766, 0.324163556098938, 0.1354677528142929, 0.1293487697839737, 0.4620721638202667, 0.33641231060028076, 0.19736485183238983, 0.6130397319793701, 0.3822559416294098, 0.35056740045547485, 0.5070019364356995, 0.30073869228363037, 0.6736941933631897, 0.8742104768753052, 0.22908863425254822, 0.504490852355957, 0.8036162257194519]","[0.2956646978855133, 0.3042013347148895, 0.5550812482833862, 0.6904732584953308, 0.6890855431556702, 0.5884146690368652, 0.4159952700138092, 0.49637627601623535, 0.07724521309137344, 0.4904862642288208, 0.5331395268440247, 0.22055214643478394, 0.5409836769104004, 0.3237636685371399, 0.34292519092559814, 0.19060710072517395, 0.30407100915908813, 0.6552442312240601, 0.6525017619132996, 0.1909128576517105, 0.6861351132392883, 0.4335547983646393, 0.3361239731311798, 0.5891348123550415, 0.7497658133506775, 0.6360828876495361, 0.5891673564910889, 0.19970521330833435, 0.4820384681224823, 0.2639189660549164, 0.2313443422317505, 0.44920358061790466, 0.5401793122291565, 0.45432305335998535, 0.5367864370346069, 0.3741174340248108, 0.35733380913734436, 0.6483817100524902, 0.3011953830718994, 0.34981584548950195, 0.224674791097641, 0.5017396211624146, 0.20014265179634094, 0.20751960575580597, 0.43276768922805786, 0.709135890007019, 0.727235734462738, 0.7872164249420166, 0.3194141983985901, 0.1376749575138092, 0.4114369750022888, 0.37158679962158203, 0.41412708163261414, 0.8122707009315491, 0.5074024796485901, 0.1999766230583191, 0.6418177485466003, 0.23565025627613068, 0.3123015761375427, 0.6222766637802124, 0.4465714991092682, 0.3473987579345703, 0.0973239541053772, 0.25405484437942505, 0.12354729324579239, 0.5154272317886353, 0.3438420593738556, 0.30578354001045227, 0.18597197532653809, 0.18347449600696564, 0.7454272508621216, 0.10519877821207047, 0.6088433861732483, 0.6940641403198242, 0.5153985619544983, 0.08616671711206436, 0.22501838207244873, 0.4641435742378235, 0.4824886918067932, 0.4305180609226227, 0.1539599597454071, 0.21448618173599243]","(200, 3, 0.05, 0.8, 1.83, 2.0, 5.0)",S3_Wav2Vec,277.3
LR,10,6,0.664,0.2005,0.56,0.6011,0.697,0.6,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1]","[0.4901913364698722, 0.3975115905842741, 0.45048484075290646, 0.5563083253398912, 0.3375585250829962, 0.460677203278533, 0.4802009754690154, 0.4996438583747863, 0.45841315516113096, 0.5419183646976931, 0.375007485666998, 0.40974503494645914, 0.6241760845949436, 0.506631638360243, 0.269474973690898, 0.4464936243625203, 0.621614377377921, 0.5354128303794197, 0.5547184771324735, 0.638280517481407]","[0.4620945662887309, 0.3128762907260561, 0.5128030182823514, 0.5229813810968366, 0.3437926949823929, 0.4425982789527748, 0.4395846890428672, 0.5301589460256225, 0.4854519522550177, 0.5753241612795068, 0.5804819516896488, 0.480907907851643, 0.5335237556622228, 0.5473757984916047, 0.5754172952413031, 0.6068756348287672, 0.4296588625910931, 0.48467340944680287, 0.37485557439815065, 0.5248845469430508, 0.5532543090526942, 0.5210276375348809, 0.4858457268213862, 0.39438260975644096, 0.47386385736863074, 0.4982300979787532, 0.5808678567389279, 0.48345086742240473, 0.565146524466983, 0.3792382021261498, 0.26994064931003653, 0.5571463366404511, 0.37905388814675056, 0.5062763813472151, 0.5804453255930878, 0.539565165592553, 0.4255296011789389, 0.6016994918140164, 0.4238143699282441, 0.5628158539980722, 0.6645548442428116, 0.5613905126299347, 0.38722318723894106, 0.40718795674092995, 0.4696734446214754, 0.5384705317567243, 0.4361718699433563, 0.5909518712955486, 0.4960125284159457, 0.4398002106083301, 0.5008798569867491, 0.4389488376499681, 0.5050625820874686, 0.5455360800379648, 0.45026456146876087, 0.3815743415005449, 0.46248879984248314, 0.45280427537486034, 0.4827539442918697, 0.5610215361242508, 0.49010445178530876, 0.5778086298054007, 0.4409182993861659, 0.3731877576577279, 0.3955788422887709, 0.4384143264493236, 0.40626677894733804, 0.40019556231226777, 0.5890133029267476, 0.4519066050051648, 0.48160762214301844, 0.36079389967971104, 0.36781986681947487, 0.5434501019568861, 0.6008875213090521, 0.360535205705753, 0.5293749200901918, 0.37402957042225077, 0.5494509035888082, 0.4194688586124535, 0.48853370184355144, 0.42302859997444714]","(0.05, 'balanced')",S4_Fusion,92.8
SVM_rbf,30,4,0.7098,0.1289,0.375,0.4,0.5833,0.49,"[1, 1, 1, 0, 1, 1, 0, 1, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0]","[0.46004246776724816, 0.38115020432154456, 0.5170123430470808, 0.3287409548241245, 0.48870783915947097, 0.4099314962977621, 0.23045573277943418, 0.39572697930242323, 0.2529782285500955, 0.2625806375489666, 0.3170716609071585, 0.5572404489580646, 0.33585126852415265, 0.4807465669449623, 0.37363909331029205, 0.5355969011899298, 0.08124134027048346, 0.5, 0.14313430011709202, 0.24593381417370763]","[0.4841868853842347, 0.37049968948745715, 0.42877846184651625, 0.3383192719733923, 0.46429792470269776, 0.3513544554143795, 0.37738547152876395, 0.2844173803748403, 0.20014254634268042, 0.38371220753567076, 0.27772090406241523, 0.33871533609241383, 0.38523976295858503, 0.34754825403071227, 0.3945680447623158, 0.3485010162362457, 0.5415175579239198, 0.26147716686392847, 0.3623760829621648, 0.3568826630637934, 0.37185143135531584, 0.35140810191277416, 0.20411687915081644, 0.4375727569592997, 0.3662213269469734, 0.1932722228508216, 0.2883719964464591, 0.345640070217435, 0.39677995677535344, 0.5515125259378253, 0.34080774936727753, 0.2577349885586555, 0.34806439506412745, 0.6305229940860265, 0.30004800236711704, 0.20074314624298842, 0.34930105164603226, 0.27698387776845784, 0.3035884729736697, 0.2558504556247155, 0.36478951630229145, 0.39288374782033275, 0.3971268791564292, 0.419121798853861, 0.35772922140581626, 0.28431160195273775, 0.40775874331227596, 0.28561941435549304, 0.6733934784579655, 0.4090170313700177, 0.3565033070408477, 0.40383059889403683, 0.3458903778389455, 0.2886799543889579, 0.7769066043276768, 0.3635430356473714, 0.42990368635896237, 0.29716186361785857, 0.4087277219498572, 0.06019248251618143, 0.2510088143517861, 0.23904898325953666, 0.3673038288249753, 0.4018894223956457, 0.43850720970913154, 0.27085171304347966, 0.5339616823693852, 0.3224520317293801, 0.2858015761605917, 0.44746680209052886, 0.38489538468516066, 0.4751261494591052, 0.37249448927463347, 0.2539806942577916, 0.2949242097866376, 0.45020700142121356, 0.3866711885226369, 0.4482829130836919, 0.37245190731981226, 0.2937673424511259, 0.36270293803089004, 0.40984172549820796]","(1.0, 'balanced')",S4_Fusion,47.8
SVM_lin,25,4,0.6163,0.1295,0.36,0.596,0.596,0.51,"[0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 1, 1]","[0.31528006471991576, 0.3509696700233999, 0.34703038800867814, 0.36282900209619395, 0.30992269099632114, 0.34769214456661846, 0.37620907582926083, 0.3584137173758942, 0.3598797605145182, 0.3668403520742126, 0.36437357406709475, 0.36271774519239985, 0.3313879057651633, 0.33541095880050553, 0.26906702216458617, 0.3385474653866946, 0.38219285592724317, 0.3434261180268848, 0.36951579998450873, 0.37464391294768906]","[0.3222112715343303, 0.41498767069707965, 0.3452854149577398, 0.36506386902339616, 0.3802814555930456, 0.3586994006451684, 0.3497733066310651, 0.3676982406858333, 0.33796896588077696, 0.3563036180258875, 0.3421841541309418, 0.3708247644106341, 0.3679173555485141, 0.3538192039776044, 0.40931491545111154, 0.3917241852481452, 0.24736612288119372, 0.3563624356766132, 0.3392972265808743, 0.34897098175342567, 0.32855909433371827, 0.3539516581073354, 0.337393527768947, 0.062387484276362495, 0.35491255470177885, 0.3066722645052984, 0.34673515730192284, 0.36436551280665536, 0.37433011424365664, 0.38525286217909016, 0.471754821465183, 0.3656435719005058, 0.37793667223143623, 0.36300255004019916, 0.3503233198514304, 0.40303646629057577, 0.3555724541486911, 0.3311969649637229, 0.36565913153452173, 0.3208333081937242, 0.34862349376709006, 0.3506746231480354, 0.36572931981861423, 0.3603515541283811, 0.3520078923710279, 0.34924181475409233, 0.3607260491447214, 0.35397652563490634, 0.34532735064819836, 0.3548643832049966, 0.3517443135689051, 0.35542502126141884, 0.3523416356852506, 0.34079488606530234, 0.3775503755548542, 0.3561023937971297, 0.35915413958185716, 0.37872596741185865, 0.35817307576918084, 0.32161599637585075, 0.36596114597227597, 0.3420563492976673, 0.3545063380118998, 0.35493733437028796, 0.3555259162500591, 0.3415397117848336, 0.36741547718464285, 0.394297198263541, 0.3450858393162907, 0.2980081324018136, 0.3567996715688094, 0.35960083238907425, 0.348339921305154, 0.3236008947333664, 0.34313052628856316, 0.3742321916429063, 0.3552791285100095, 0.3671959358636259, 0.3554481357834573, 0.31018692652315044, 0.35097345824462084, 0.3518266121391998]","(1.0, 'balanced')",S4_Fusion,47.7
RF,10,8,0.6062,0.1417,0.485,0.4872,0.6491,0.65,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0]","[0.3727107684611226, 0.4258359988244883, 0.42997146645952017, 0.31626226823121084, 0.28968715323361355, 0.3591390424827835, 0.20675882920476793, 0.33710242271016916, 0.2151497157471071, 0.5668862355433301, 0.23891980874850205, 0.3163184266108807, 0.4404291004526897, 0.3552593369745024, 0.3938997992408759, 0.31523605579927105, 0.5632143736733703, 0.48258793944037864, 0.6433281190131246, 0.38150474933011014]","[0.4573353119614468, 0.428306697232224, 0.4844573694473368, 0.7071270329248096, 0.2793281379782928, 0.4870052163784277, 0.3754471495963815, 0.5477654040311554, 0.3738299712408146, 0.29384486061906656, 0.46060189068128826, 0.43734670682116994, 0.5479255004765914, 0.5699476016660391, 0.5669969736957897, 0.6910848761988034, 0.28963954009272963, 0.3577247908347079, 0.2913471972136111, 0.5343732570397829, 0.5562616019554283, 0.4175783830367016, 0.3365122731212981, 0.3281082996895759, 0.3624746294851378, 0.41603719936656475, 0.4235307831872706, 0.4718003872617986, 0.48089158554122835, 0.2662412420564233, 0.23614788187431074, 0.5595219166653165, 0.2612112736505856, 0.39637057963055927, 0.5973836006837207, 0.5326931984161674, 0.35455528604591696, 0.7651870162517223, 0.40616877131451773, 0.5069234656760497, 0.48911017301382403, 0.39365871749193726, 0.22102720531227593, 0.30965040201722643, 0.48102864575867366, 0.4513011296192161, 0.31751370092712394, 0.6282792513377241, 0.6004822069735829, 0.325836938422386, 0.4022901648609723, 0.3420445736757373, 0.412515410735627, 0.6808744404553418, 0.30058383884299256, 0.3795057315755231, 0.46424592018531596, 0.3576708417504132, 0.3133016372979727, 0.5345890864979965, 0.44421680432968086, 0.7015320929709981, 0.23430225794102388, 0.2188353510861118, 0.1847637694104131, 0.610465824705771, 0.32247752522832784, 0.48091621142221896, 0.5309345438046013, 0.40030802537073273, 0.5773467721106331, 0.4295781810922021, 0.3689533523507613, 0.7594710602935195, 0.7533113407071623, 0.2649118744972457, 0.44456111172032553, 0.27079750920257817, 0.4292468849030599, 0.5295535284809425, 0.3997307051337826, 0.4693807508979745]","(300, 5, 2, 'balanced')",S4_Fusion,151.2
XGB,10,20,0.6258,0.1297,0.335,0.5833,0.6491,0.56,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0]","[0.13075387477874756, 0.431374192237854, 0.3266772925853729, 0.16133150458335876, 0.17959557473659515, 0.2466302216053009, 0.19735661149024963, 0.2633959650993347, 0.19646981358528137, 0.5719858407974243, 0.12184959650039673, 0.143018901348114, 0.284462034702301, 0.18820372223854065, 0.3446122407913208, 0.175181582570076, 0.6103958487510681, 0.38788869976997375, 0.708407998085022, 0.3244030177593231]","[0.4733593761920929, 0.20726458728313446, 0.4099077880382538, 0.8709452152252197, 0.12538646161556244, 0.6605310440063477, 0.21800079941749573, 0.5305639505386353, 0.2865075170993805, 0.14309629797935486, 0.5703591704368591, 0.21293790638446808, 0.6287623047828674, 0.43678098917007446, 0.623120129108429, 0.8482300043106079, 0.17272566258907318, 0.2660578489303589, 0.09202110767364502, 0.4826826751232147, 0.7294695377349854, 0.3323860168457031, 0.2116433084011078, 0.24541862308979034, 0.27637115120887756, 0.26081299781799316, 0.34153667092323303, 0.3237434923648834, 0.4294401705265045, 0.1312464475631714, 0.09532693028450012, 0.7468447685241699, 0.061283476650714874, 0.420163094997406, 0.6498360633850098, 0.7939420342445374, 0.15690702199935913, 0.8148787617683411, 0.3967317044734955, 0.47359374165534973, 0.30630841851234436, 0.19589483737945557, 0.02637574076652527, 0.08924443274736404, 0.5450440645217896, 0.5532798171043396, 0.1313261091709137, 0.7515328526496887, 0.8437247276306152, 0.2591567933559418, 0.27471035718917847, 0.3217237591743469, 0.40051892399787903, 0.62282395362854, 0.1330631971359253, 0.3020775020122528, 0.409668505191803, 0.3036906123161316, 0.11568011343479156, 0.43328574299812317, 0.4771170914173126, 0.8547648191452026, 0.11065831780433655, 0.12703779339790344, 0.09508663415908813, 0.6338834166526794, 0.3893941342830658, 0.4083271622657776, 0.5846495032310486, 0.33288654685020447, 0.29449662566185, 0.38473570346832275, 0.1971789449453354, 0.9382266998291016, 0.7759822010993958, 0.15388965606689453, 0.5640473961830139, 0.24566152691841125, 0.21614281833171844, 0.4596840739250183, 0.29455918073654175, 0.5551081895828247]","(200, 2, 0.1, 0.8, 1.83, 1.0, 5.0)",S4_Fusion,208.8
