Experiment,Test F1 Macro,Test Accuracy,Test AUC,Test Recall,Threshold
Fusion|SMOTE|K100|ET,0.5644,0.5652,0.4802,0.6032,0.21
Spectrogram|SMOTE|K100|SVM_C10,0.5644,0.5652,0.5238,0.6032,0.29
Fusion|NoSMOTE|PCA|GBM,0.5577,0.5652,0.5159,0.5635,0.26
Fusion|SMOTE|PCA|XGB,0.5577,0.5652,0.5238,0.5635,0.47
Fusion|NoSMOTE|K100|SVM_C10,0.5577,0.5652,0.5159,0.623,0.26
Fusion|SMOTE|K50|LR_C1,0.5577,0.5652,0.5476,0.5635,0.45
Fusion|SMOTE|K100|SVM_C10,0.5577,0.5652,0.5238,0.5635,0.25
Fusion|SMOTE|K100|SVM_C100,0.5577,0.5652,0.5238,0.5635,0.25
Spectrogram|SMOTE|K50|RF,0.5577,0.5652,0.3968,0.5635,0.38
MFCC|SMOTE|K100|ET,0.5577,0.5652,0.5119,0.5635,0.32
Spectrogram|SMOTE|K100|LR_C1,0.5577,0.5652,0.5476,0.5635,0.56
Wav2Vec|NoSMOTE|K50|XGB,0.5577,0.5652,0.5079,0.5635,0.27
Fusion|SMOTEENN|K50|XGB,0.5577,0.5652,0.5,0.5635,0.26
Fusion|SMOTE|PCA|SVM_C100,0.5577,0.5652,0.4762,0.5635,0.35
Fusion|SMOTE|PCA|GBM,0.5577,0.5652,0.4444,0.5635,0.37
Fusion|NoSMOTE|K100|SVM_C100,0.5577,0.5652,0.5159,0.623,0.26
Fusion|SMOTE|PCA|SVM_C10,0.5577,0.5652,0.4921,0.5635,0.33
Fusion|SMOTE|K100|LGB,0.5548,0.6087,0.4444,0.5595,0.25
Fusion|BorderSMOTE|K100|RF,0.5548,0.6087,0.4802,0.5595,0.41
Fusion|BorderSMOTE|K100|ET,0.5548,0.6087,0.4643,0.5595,0.42
MFCC|NoSMOTE|K50|LR_C1,0.5548,0.6087,0.4206,0.5595,0.57
LGB_GS_Best,0.5548,0.6087,0.4286,0.5595,0.35
Spectrogram|SMOTE|K100|LGB,0.5548,0.6087,0.4921,0.5595,0.78
MFCC|NoSMOTE|K50|ET,0.5548,0.6087,0.4246,0.5595,0.4
MFCC|SMOTE|K100|LR_C1,0.5548,0.6087,0.4444,0.5595,0.69
MFCC|SMOTE|K50|MLP76,0.5548,0.6087,0.4841,0.5595,0.75
MFCC|SMOTE|K50|LR_C1,0.5548,0.6087,0.4444,0.5595,0.39
Fusion|NoSMOTE|K100|LR_C1,0.5548,0.6087,0.4603,0.5595,0.78
Fusion|NoSMOTE|K50|ET,0.5548,0.6087,0.4444,0.5595,0.41
Fusion|NoSMOTE|K100|ET,0.5548,0.6087,0.4603,0.5595,0.38
Fusion|SMOTE|K50|RF,0.5548,0.6087,0.4841,0.5595,0.47
Fusion|SMOTE|K100|RF,0.5548,0.6087,0.4762,0.5595,0.44
Wav2Vec|SMOTE|K50|RF,0.5548,0.6087,0.4921,0.5595,0.51
Wav2Vec|SMOTE|PCA|GBM,0.5548,0.6087,0.4921,0.5595,0.72
Wav2Vec|SMOTE|K50|ET,0.5548,0.6087,0.4921,0.5595,0.49
Wav2Vec|NoSMOTE|K50|RF,0.5548,0.6087,0.4841,0.5595,0.37
Fusion|SMOTETomek|K50|LGB,0.5548,0.6087,0.4524,0.5595,0.64
MFCC|NoSMOTE|K50|MLP76,0.5548,0.6087,0.4444,0.5595,0.66
Fusion|SMOTETomek|K50|RF,0.5548,0.6087,0.5,0.5595,0.42
MFCC|SMOTE|K50|ET,0.5548,0.6087,0.4524,0.5595,0.47
Fusion|SMOTE|K100|MLP76,0.549,0.6522,0.4921,0.5754,0.52
Fusion|NoSMOTE|K100|LGB,0.549,0.6522,0.4683,0.5754,0.77
Fusion|BorderSMOTE|K50|LGB,0.549,0.6522,0.4524,0.5754,0.74
Fusion|NoSMOTE|K50|MLP76,0.549,0.6522,0.4683,0.5754,0.8
Spectrogram|SMOTE|K100|GBM,0.549,0.6522,0.4206,0.5754,0.76
Spectrogram|SMOTE|K50|XGB,0.549,0.6522,0.3571,0.5754,0.77
Spectrogram|SMOTE|K50|SVM_C100,0.549,0.6522,0.4921,0.5754,0.58
Spectrogram|SMOTE|K50|LGB,0.549,0.6522,0.4048,0.5754,0.84
MFCC|SMOTE|PCA|SVM_C10,0.5437,0.5652,0.4524,0.5437,0.36
MFCC|SMOTE|K100|RF,0.5437,0.5652,0.4921,0.5437,0.34
MFCC|SMOTE|K100|SVM_C10,0.5437,0.5652,0.4127,0.5437,0.33
MFCC|NoSMOTE|K50|XGB,0.5437,0.5652,0.3968,0.5437,0.23
Spectrogram|SMOTE|PCA|LGB,0.5437,0.5652,0.4762,0.5437,0.27
MFCC|SMOTE|K100|SVM_C100,0.5437,0.5652,0.4127,0.5437,0.33
Fusion|SMOTE|K50|LGB,0.5437,0.5652,0.5238,0.5437,0.21
Wav2Vec|NoSMOTE|K50|LGB,0.5437,0.5652,0.4365,0.5437,0.48
Fusion|NoSMOTE|K50|LR_C1,0.5217,0.5217,0.4841,0.5476,0.37
Fusion|BorderSMOTE|K50|LR_C1,0.5217,0.5217,0.4841,0.5476,0.2
Wav2Vec|SMOTE|K100|GBM,0.5208,0.5652,0.4286,0.5238,0.43
Wav2Vec|SMOTE|K100|SVM_C10,0.5208,0.5652,0.4683,0.5238,0.34
Wav2Vec|NoSMOTE|K50|ET,0.5208,0.5652,0.4722,0.5238,0.37
Wav2Vec|SMOTE|K100|SVM_C100,0.5208,0.5652,0.4683,0.5238,0.34
Fusion|SMOTEENN|K50|SVM_C10,0.5208,0.5652,0.5238,0.5238,0.2
Fusion|SMOTETomek|K50|GBM,0.5208,0.5652,0.4365,0.5238,0.2
MFCC|SMOTE|K100|GBM,0.5208,0.5652,0.4365,0.5238,0.2
Fusion|SMOTETomek|K50|ET,0.5208,0.5652,0.5238,0.5238,0.39
MFCC|SMOTE|K100|MLP76,0.5208,0.5652,0.4127,0.5238,0.47
Wav2Vec|SMOTE|K100|XGB,0.5208,0.5652,0.4127,0.5238,0.4
Fusion|SMOTETomek|K50|XGB,0.5208,0.5652,0.4762,0.5238,0.26
MFCC|SMOTE|K50|RF,0.5208,0.5652,0.4524,0.5238,0.36
Fusion|SMOTEENN|K50|SVM_C100,0.5208,0.5652,0.5238,0.5238,0.2
Fusion|NoSMOTE|K50|RF,0.5208,0.5652,0.4206,0.5238,0.4
Fusion|SMOTE|K50|XGB,0.5208,0.5652,0.4921,0.5238,0.46
Spectrogram|NoSMOTE|K50|ET,0.5181,0.5217,0.3373,0.5278,0.32
MFCC|NoSMOTE|K50|SVM_C100,0.5181,0.5217,0.4524,0.5675,0.28
Wav2Vec|SMOTE|K100|LR_C1,0.5181,0.5217,0.5,0.5278,0.2
Fusion|SMOTE|K50|SVM_C10,0.5181,0.5217,0.4921,0.5675,0.2
Fusion|SMOTE|K50|SVM_C100,0.5181,0.5217,0.4921,0.5675,0.2
MFCC|NoSMOTE|K50|SVM_C10,0.5181,0.5217,0.4524,0.5675,0.28
Fusion|NoSMOTE|K100|GBM,0.5175,0.6087,0.373,0.5397,0.24
Fusion|BorderSMOTE|K50|MLP76,0.5175,0.6087,0.4127,0.5397,0.72
Fusion|BorderSMOTE|K50|ET,0.5175,0.6087,0.4087,0.5397,0.47
Fusion|NoSMOTE|PCA|RF,0.5175,0.6087,0.3214,0.5397,0.53
Fusion|SMOTE|K100|GBM,0.5175,0.6087,0.4127,0.5397,0.63
Wav2Vec|SMOTE|PCA|ET,0.5175,0.6087,0.4206,0.5397,0.54
Spectrogram|SMOTE|K100|RF,0.5175,0.6087,0.4206,0.5397,0.51
Spectrogram|NoSMOTE|K50|XGB,0.5175,0.6087,0.4048,0.5397,0.56
Spectrogram|SMOTE|K50|GBM,0.5175,0.6087,0.3095,0.5397,0.4
Spectrogram|SMOTE|PCA|SVM_C100,0.5175,0.6087,0.3571,0.5397,0.61
Fusion|SMOTE|PCA|ET,0.5175,0.6087,0.4325,0.5397,0.61
Fusion|SMOTE|PCA|RF,0.5175,0.6087,0.381,0.5397,0.63
Spectrogram|NoSMOTE|K50|GBM,0.5175,0.6087,0.3333,0.5397,0.63
Spectrogram|SMOTE|K50|SVM_C10,0.5175,0.6087,0.4683,0.5397,0.53
Spectrogram|SMOTE|PCA|SVM_C10,0.5175,0.6087,0.3571,0.5397,0.61
Fusion|SMOTETomek|K50|SVM_C10,0.5068,0.5217,0.5,0.5079,0.24
Wav2Vec|SMOTE|PCA|SVM_C10,0.5068,0.5217,0.4286,0.5873,0.2
Wav2Vec|SMOTE|PCA|LR_C1,0.5068,0.5217,0.3968,0.5079,0.42
Wav2Vec|SMOTE|PCA|SVM_C100,0.5068,0.5217,0.4286,0.5873,0.2
Wav2Vec|SMOTE|K50|SVM_C100,0.5068,0.5217,0.4127,0.5079,0.38
Fusion|SMOTETomek|K50|SVM_C100,0.5068,0.5217,0.5,0.5079,0.24
Fusion|NoSMOTE|PCA|SVM_C100,0.5068,0.5217,0.5159,0.5079,0.38
Fusion|NoSMOTE|K50|SVM_C10,0.5068,0.5217,0.4286,0.5873,0.26
Fusion|SMOTE|PCA|LR_C1,0.5068,0.5217,0.5079,0.5079,0.72
Fusion|NoSMOTE|PCA|LR_C1,0.5068,0.5217,0.5079,0.5079,0.81
Fusion|NoSMOTE|K50|SVM_C100,0.5068,0.5217,0.4286,0.5873,0.26
Wav2Vec|SMOTE|K100|MLP76,0.5068,0.5217,0.3968,0.5079,0.49
Wav2Vec|SMOTE|K50|SVM_C10,0.5068,0.5217,0.4206,0.5079,0.37
Spectrogram|NoSMOTE|K50|SVM_C100,0.5068,0.5217,0.619,0.5873,0.38
MFCC|SMOTE|PCA|SVM_C100,0.5068,0.5217,0.4603,0.5079,0.36
MFCC|NoSMOTE|K50|RF,0.4889,0.6522,0.3889,0.5556,0.69
MFCC|SMOTE|K50|SVM_C10,0.4868,0.5217,0.4524,0.4881,0.29
Wav2Vec|NoSMOTE|K50|MLP76,0.4868,0.5217,0.4206,0.4881,0.2
Fusion|NoSMOTE|K50|XGB,0.4868,0.5217,0.4048,0.4881,0.35
Fusion|SMOTE|K50|ET,0.4868,0.5217,0.4603,0.4881,0.39
Fusion|BorderSMOTE|K50|GBM,0.4868,0.5217,0.373,0.4881,0.33
Fusion|BorderSMOTE|K50|XGB,0.4866,0.5652,0.3889,0.504,0.62
Spectrogram|SMOTE|K100|XGB,0.4866,0.5652,0.4127,0.504,0.57
Fusion|BorderSMOTE|K100|GBM,0.4866,0.5652,0.3571,0.504,0.2
Fusion|SMOTE|PCA|MLP76,0.4866,0.5652,0.4206,0.504,0.58
Fusion|NoSMOTE|K50|GBM,0.4866,0.5652,0.4048,0.504,0.62
MFCC|SMOTE|K50|GBM,0.4866,0.5652,0.3254,0.504,0.34
MFCC|NoSMOTE|K50|GBM,0.4866,0.5652,0.3333,0.504,0.35
MFCC|SMOTE|PCA|ET,0.4866,0.5652,0.3532,0.504,0.57
Spectrogram|NoSMOTE|K50|LGB,0.4866,0.5652,0.3413,0.504,0.73
Fusion|NoSMOTE|PCA|MLP76,0.4866,0.5652,0.3889,0.504,0.74
Spectrogram|SMOTE|K50|ET,0.4773,0.4783,0.3413,0.4921,0.33
Spectrogram|SMOTE|K50|MLP76,0.4773,0.4783,0.381,0.4921,0.24
Spectrogram|NoSMOTE|K50|SVM_C10,0.4773,0.4783,0.5952,0.5119,0.38
MFCC|SMOTE|PCA|GBM,0.4773,0.4783,0.3651,0.5119,0.41
MFCC|SMOTE|PCA|XGB,0.4773,0.4783,0.373,0.5119,0.36
Fusion|BorderSMOTE|K50|SVM_C10,0.4692,0.4783,0.4444,0.4722,0.21
Fusion|BorderSMOTE|K100|SVM_C10,0.4692,0.4783,0.5,0.4722,0.2
Wav2Vec|NoSMOTE|K50|SVM_C10,0.4692,0.4783,0.4048,0.5317,0.36
Fusion|NoSMOTE|PCA|SVM_C10,0.4692,0.4783,0.5238,0.5317,0.38
Fusion|BorderSMOTE|K50|SVM_C100,0.4692,0.4783,0.4444,0.4722,0.21
Fusion|BorderSMOTE|K100|SVM_C100,0.4692,0.4783,0.5,0.4722,0.2
Fusion|NoSMOTE|PCA|ET,0.4692,0.4783,0.3611,0.4722,0.45
Wav2Vec|NoSMOTE|K50|SVM_C100,0.4692,0.4783,0.3968,0.4722,0.38
Spectrogram|NoSMOTE|K50|RF,0.4692,0.4783,0.3651,0.4722,0.32
Fusion|NoSMOTE|K50|LGB,0.4623,0.6087,0.3413,0.5198,0.84
MFCC|SMOTE|K50|SVM_C100,0.4623,0.6087,0.4444,0.5198,0.74
Fusion|SMOTE|K50|GBM,0.4559,0.5217,0.3889,0.4683,0.33
Wav2Vec|NoSMOTE|K50|LR_C1,0.4305,0.4348,0.3492,0.4365,0.21
MFCC|SMOTE|PCA|LGB,0.425,0.4783,0.2857,0.4325,0.82
Wav2Vec|SMOTE|K50|LR_C1,0.425,0.4783,0.3571,0.4325,0.6
MFCC|SMOTE|PCA|RF,0.4172,0.4348,0.2937,0.4167,0.53
Spectrogram|SMOTE|K100|ET,0.3839,0.4783,0.3056,0.4127,0.44
Fusion|SMOTEENN|K50|LGB,0.3784,0.6087,0.5,0.5,0.51
