scenario,model,type,cv_f1_mean,cv_f1_std,cv_acc_mean,test_f1,test_acc,test_auc,overfit_gap,time_s,y_pred,y_prob
S3_Wav2Vec,RandomForest,Traditional ML,0.636,0.1192,0.6956,0.6,0.6,0.555,-0.036,2.2,"[1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 1, 1, 0, 1, 0, 1, 1, 1, 0]","[0.7666666666666667, 0.27, 0.5466666666666666, 0.7633333333333333, 0.57, 0.42333333333333334, 0.7, 0.33666666666666667, 0.49333333333333335, 0.8533333333333334, 0.4033333333333333, 0.7033333333333334, 0.6133333333333333, 0.51, 0.7033333333333334, 0.56, 0.6533333333333333, 0.7633333333333333, 0.89, 0.31333333333333335]"
S3_Wav2Vec,SVM,Traditional ML,0.6733,0.0748,0.6956,0.6011,0.65,0.59,-0.0722,0.6,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0]","[0.6120787794022086, 0.1696193566107146, 0.22801329829357994, 0.8215504025043966, 0.22742152886141737, 0.034598372352523374, 0.3733362128004894, 0.2440351821989835, 0.28948467761999924, 0.8135869560368085, 0.09414913949510247, 0.46024124763678465, 0.22949715160256828, 0.31993470273194496, 0.2281555753832918, 0.25436435344821334, 0.8591764642108006, 0.8605060782713864, 0.968049413546963, 0.22241848092120275]"
S3_Wav2Vec,LogisticRegression,Traditional ML,0.6372,0.1063,0.6581,0.596,0.6,0.52,-0.0413,0.7,"[1, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 0]","[0.9997126989626388, 0.00865917117614121, 0.8048011914304894, 0.9132698260402092, 0.0115724650297021, 0.01048824936532138, 0.3304771116402317, 0.3642891332026959, 0.6174266197377193, 0.934184383291439, 0.0023516951684313136, 0.8621717897831841, 0.5672426262257563, 0.4198951878600835, 0.0006791788018660303, 0.5152614471494041, 0.9678842915284894, 0.9833840935142725, 0.985948809690832, 0.10967718027085176]"
S3_Wav2Vec,XGBoost,Traditional ML,0.5963,0.1698,0.6088,0.6419,0.65,0.58,0.0456,0.7,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 1, 1, 0]","[0.9224879145622253, 0.03989208862185478, 0.4933105707168579, 0.8275724053382874, 0.685036301612854, 0.335523396730423, 0.8455386757850647, 0.06207616999745369, 0.21560361981391907, 0.9756262302398682, 0.11101406067609787, 0.8620588183403015, 0.7717972993850708, 0.4033481180667877, 0.8598394989967346, 0.19878216087818146, 0.873685896396637, 0.9721221327781677, 0.9794331789016724, 0.05896401032805443]"
S3_Wav2Vec,MLP_DL,Deep Learning,0.6495,0.0869,0.6713,0.596,0.6,0.51,-0.0536,0.9,"[1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 1, 1, 0]","[0.9874259425615174, 0.14071873373544064, 0.9888642533953996, 0.7359967692567128, 0.7438496521467454, 0.40581759198310596, 0.6800183263114538, 0.12170056268103754, 0.20924996880204866, 0.961025478427105, 0.29104877613371927, 0.8046400133582493, 0.5586916701159047, 0.731584937695094, 0.8930331544237354, 0.4505071300847385, 0.9062729079716565, 0.8916888671704742, 0.9224255055956434, 0.11818793493164531]"
S4_Fusion,RandomForest,Traditional ML,0.6948,0.039,0.7324,0.5833,0.6,0.54,-0.1115,2.3,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0]","[0.83, 0.47333333333333333, 0.6, 0.6633333333333333, 0.5266666666666666, 0.6433333333333333, 0.5966666666666667, 0.44, 0.47333333333333333, 0.91, 0.57, 0.6033333333333334, 0.5766666666666667, 0.71, 0.38, 0.4866666666666667, 0.89, 0.84, 0.8233333333333334, 0.5233333333333333]"
S4_Fusion,SVM,Traditional ML,0.692,0.0591,0.7449,0.6267,0.65,0.57,-0.0653,0.6,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 1, 0]","[0.5350948357523782, 0.25248660848565646, 0.08419948082969228, 0.5582706492187385, 0.282293480281602, 0.8089816372658774, 0.7855191521988987, 0.04781711483979131, 0.6825055462356406, 0.9502386091681471, 0.8384034982259875, 0.8448386126050484, 0.18369431341597878, 0.5890787392522406, 0.059159944228478624, 0.3871427052899544, 0.968421391223369, 0.5660113826058983, 0.8407216378808784, 0.05218883777293942]"
S4_Fusion,LogisticRegression,Traditional ML,0.6206,0.0744,0.6478,0.52,0.55,0.48,-0.1006,0.6,"[1, 0, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0]","[0.992168154335485, 0.16343172555160662, 0.0401883467851643, 0.7110679794416613, 0.6929564693170615, 0.8940274597237573, 0.8108531100680069, 0.022846162831022438, 0.8642923800435702, 0.9839809407645657, 0.7675653846956311, 0.81541226775359, 0.2994886617547524, 0.6577327620539819, 0.03185801025557376, 0.5674843839875532, 0.9760906005356672, 0.9916462411493041, 0.9954488080032855, 0.013052455116019138]"
S4_Fusion,XGBoost,Traditional ML,0.6926,0.0656,0.7206,0.6491,0.65,0.56,-0.0434,0.8,"[1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 0, 1, 0, 0, 1, 1, 1, 0]","[0.9071552753448486, 0.6969628930091858, 0.6134105920791626, 0.8817077279090881, 0.7752929925918579, 0.9362517595291138, 0.6553153395652771, 0.7201388478279114, 0.7747480869293213, 0.9606701135635376, 0.9665774703025818, 0.9028618931770325, 0.24444599449634552, 0.976794421672821, 0.116374172270298, 0.24770008027553558, 0.9740657210350037, 0.9605273604393005, 0.969860315322876, 0.5667407512664795]"
S4_Fusion,MLP_DL,Deep Learning,0.6313,0.0754,0.6691,0.6491,0.65,0.63,0.0178,0.9,"[1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 1, 1, 1, 0]","[0.9899810871792682, 0.45445793040176435, 0.5012000441088891, 0.8242017027041183, 0.5536938052845812, 0.7804111011671923, 0.7261059554466235, 0.349928526385406, 0.6041765417652716, 0.9583887237727811, 0.5847106980471103, 0.6879567705014947, 0.891000269619872, 0.8084713578186505, 0.40343588166469213, 0.7984067330909402, 0.9800548645125328, 0.990118415507667, 0.8855708211782689, 0.5631862725469815]"
