Experiment,Test F1 Macro,Test Accuracy,Test AUC,Test Recall,Threshold
MLP_arch3h_a0.001_lr0.001_s76,0.6618,0.7391,0.4921,0.6667,0.67
MLP_arch3h_a0.01_lr0.001_s76,0.6618,0.7391,0.4921,0.6667,0.67
MLP_arch3h_a0.05_lr0.001_s76,0.6618,0.7391,0.4762,0.6667,0.67
MLP_arch3h_a0.01_lr0.001_s42,0.6538,0.6957,0.5794,0.6508,0.54
MLP_arch3h_a0.05_lr0.001_s42,0.6538,0.6957,0.5794,0.6508,0.54
MLP_arch3h_a0.001_lr0.001_s42,0.6538,0.6957,0.5794,0.6508,0.54
MLP_arch3h_a0.1_lr0.001_s0,0.6538,0.6957,0.6032,0.6508,0.57
Spec|SMOTE-tomek|K50|LR,0.6538,0.6957,0.5714,0.6508,0.69
Spec|NoSMOTE|K50|LR,0.6538,0.6957,0.6032,0.6508,0.77
Spec|SMOTE-smote|K50|LR,0.6538,0.6957,0.5317,0.6508,0.68
MLP_arch3h_a0.1_lr0.001_s42,0.6538,0.6957,0.5794,0.6508,0.54
MLP_arch4h_a0.05_lr0.005_s13,0.6515,0.6522,0.6032,0.6746,0.31
MLP_arch3h_a0.001_lr0.001_s0,0.6462,0.6522,0.5952,0.6548,0.52
MLP_arch3h_a0.1_lr0.0005_s76,0.6462,0.6522,0.6111,0.6548,0.32
MLP_arch3h_a0.01_lr0.0005_s76,0.6462,0.6522,0.619,0.6548,0.32
MLP_arch3h_a0.1_lr0.001_s99,0.6462,0.6522,0.5476,0.6548,0.41
Spec|SMOTE-smote|K75|LR,0.6462,0.6522,0.5714,0.6548,0.39
Spec|SMOTE-enn|K100|RF,0.6462,0.6522,0.5198,0.6548,0.81
MLP_arch3h_a0.01_lr0.001_s0,0.6462,0.6522,0.6032,0.6548,0.52
MLP_arch3h_a0.05_lr0.0005_s99,0.6462,0.6522,0.5238,0.6548,0.42
Spec|SMOTE-enn|K75|XGB,0.6349,0.6522,0.5317,0.6349,0.48
MLP_arch3h_a0.01_lr0.005_s42,0.6349,0.6522,0.6429,0.6349,0.59
Spec|SMOTE-enn|K75|ET,0.6349,0.6522,0.5476,0.6349,0.59
MLP_arch3h_a0.01_lr0.005_s76,0.6349,0.6522,0.6032,0.6349,0.44
MLP_arch3h_a0.01_lr0.0005_s99,0.6349,0.6522,0.5159,0.6349,0.43
Spec|SMOTE-smote|K100|LR,0.6349,0.6522,0.5794,0.6349,0.63
MLP_arch3h_a0.05_lr0.005_s76,0.6349,0.6522,0.6032,0.6349,0.44
Ensemble_MLP5_SVM,0.6349,0.6522,0.5952,0.6349,0.47
MLP_arch4h_a0.1_lr0.0005_s42,0.6349,0.6522,0.5635,0.6349,0.43
MLP_arch4h_a0.001_lr0.0005_s42,0.6349,0.6522,0.5635,0.6349,0.43
MLP_arch3h_a0.1_lr0.005_s76,0.6349,0.6522,0.5794,0.6349,0.43
MLP_arch4h_a0.1_lr0.001_s42,0.6349,0.6522,0.5794,0.6349,0.39
MLP_arch3h_a0.1_lr0.0005_s99,0.6349,0.6522,0.5159,0.6349,0.44
MLP_arch4h_a0.05_lr0.001_s42,0.6349,0.6522,0.5794,0.6349,0.39
MLP_arch4h_a0.001_lr0.001_s42,0.6349,0.6522,0.5873,0.6349,0.39
MLP_arch3h_a0.001_lr0.005_s42,0.6349,0.6522,0.6429,0.6349,0.59
MLP_arch4h_a0.001_lr0.005_s42,0.6349,0.6522,0.5794,0.6349,0.57
MLP_arch4h_a0.01_lr0.001_s42,0.6349,0.6522,0.5794,0.6349,0.4
MLP_arch4h_a0.05_lr0.0005_s42,0.6349,0.6522,0.5635,0.6349,0.43
MLP_arch4h_a0.01_lr0.0005_s42,0.6349,0.6522,0.5635,0.6349,0.43
MLP_arch3h_a0.001_lr0.0005_s99,0.6349,0.6522,0.5159,0.6349,0.43
MLP_arch3h_a0.001_lr0.0005_s76,0.6247,0.6957,0.5159,0.631,0.56
MLP_arch3h_a0.05_lr0.0005_s42,0.6247,0.6957,0.5794,0.631,0.57
MLP_arch3h_a0.1_lr0.0005_s42,0.6247,0.6957,0.5794,0.631,0.57
MLP_arch3h_a0.05_lr0.0005_s76,0.6247,0.6957,0.5159,0.631,0.56
Spec|SMOTE-borderline|K150|LGB,0.6247,0.6957,0.5,0.631,0.71
Spec|SMOTE-tomek|PCA|XGB,0.6247,0.6957,0.5317,0.631,0.58
Spec|SMOTE-borderline|K50|LR,0.6247,0.6957,0.5397,0.631,0.79
MLP_arch3h_a0.01_lr0.0005_s42,0.6247,0.6957,0.5794,0.631,0.57
Spec|SMOTE-borderline|K50|LGB,0.6247,0.6957,0.5079,0.631,0.74
MLP_arch3h_a0.001_lr0.0005_s42,0.6167,0.6522,0.5794,0.6151,0.51
Spec|SMOTE-enn|K50|XGB,0.6167,0.6522,0.4286,0.6151,0.65
MLP_arch3h_a0.01_lr0.001_s99,0.6167,0.6522,0.5317,0.6151,0.49
MLP_arch3h_a0.001_lr0.001_s99,0.6167,0.6522,0.5397,0.6151,0.5
MLP_arch3h_a0.05_lr0.001_s0,0.6167,0.6522,0.5873,0.6151,0.55
Spec|SMOTE-smote|PCA|GBM,0.6167,0.6522,0.5556,0.6151,0.3
Spec|SMOTE-smote|PCA|XGB,0.6167,0.6522,0.5714,0.6151,0.48
Spec|NoSMOTE|K100|LR,0.6167,0.6522,0.5794,0.6151,0.84
Spec|NoSMOTE|K75|LR,0.6167,0.6522,0.619,0.6151,0.81
MLP_arch4h_a0.01_lr0.005_s13,0.6087,0.6087,0.5952,0.6389,0.1
Spec|SMOTE-enn|K75|LR,0.6087,0.6087,0.5476,0.6389,0.22
MLP_arch4h_a0.001_lr0.005_s13,0.6087,0.6087,0.5873,0.6389,0.1
MLP_arch4h_a0.1_lr0.005_s13,0.6087,0.6087,0.5794,0.6389,0.1
MLP_arch4h_a0.001_lr0.0005_s13,0.6087,0.6087,0.5952,0.6389,0.18
MLP_arch3h_a0.1_lr0.005_s42,0.6087,0.6087,0.6429,0.6389,0.49
MLP_arch4h_a0.1_lr0.0005_s13,0.6087,0.6087,0.5873,0.6389,0.18
Spec|SMOTE-tomek|PCA|RF,0.6087,0.6087,0.6071,0.6389,0.36
Spec|SMOTE-smote|PCA|ET,0.6087,0.6087,0.6032,0.6389,0.37
SpecMFCC|ENN|K100|MLP76,0.6087,0.6087,0.5079,0.6389,0.43
Spec|SMOTE-borderline|PCA|RF,0.6087,0.6087,0.5556,0.6389,0.4
Spec|SMOTE-enn|K150|RF,0.6057,0.6087,0.5317,0.6587,0.51
MLP_arch4h_a0.01_lr0.001_s13,0.6057,0.6087,0.5794,0.619,0.16
Spec|SMOTE-enn|K100|ET,0.6057,0.6087,0.5516,0.619,0.75
Spec|SMOTE-enn|K100|LR,0.6057,0.6087,0.5714,0.619,0.71
MLP_arch4h_a0.01_lr0.005_s42,0.6057,0.6087,0.5714,0.619,0.42
MLP_arch4h_a0.001_lr0.001_s13,0.6057,0.6087,0.5794,0.619,0.19
Spec|SMOTE-tomek|PCA|LR,0.6057,0.6087,0.5238,0.619,0.29
Spec|SMOTE-borderline|K75|LR,0.6057,0.6087,0.6032,0.619,0.37
MLP_arch4h_a0.1_lr0.005_s42,0.6057,0.6087,0.5794,0.619,0.44
MLP_arch4h_a0.1_lr0.001_s13,0.6057,0.6087,0.5794,0.619,0.17
Spec|SMOTE-tomek|K100|XGB,0.6057,0.6087,0.5079,0.619,0.28
MLP_arch3h_a0.05_lr0.005_s42,0.6057,0.6087,0.627,0.6587,0.44
MLP_arch3h_a0.05_lr0.005_s99,0.6057,0.6087,0.5476,0.619,0.28
Spec|SMOTE-enn|K50|LR,0.6057,0.6087,0.5238,0.619,0.23
MLP_arch4h_a0.05_lr0.005_s42,0.6057,0.6087,0.5635,0.619,0.41
MLP_arch4h_a0.01_lr0.005_s99,0.6057,0.6087,0.5238,0.619,0.37
Spec|SMOTE-tomek|K150|SVM_C100,0.5965,0.6087,0.5476,0.5992,0.35
MLP_arch4h_a0.001_lr0.005_s0,0.5965,0.6087,0.4444,0.6786,0.2
Spec|SMOTE-enn|K150|LR,0.5965,0.6087,0.5079,0.5992,0.57
SpecMFCC|SMOTE|K100|MLP76,0.5965,0.6087,0.5238,0.6786,0.26
Spec|SMOTE-borderline|K150|LR,0.5965,0.6087,0.5714,0.5992,0.45
Spec|NoSMOTE|K150|LR,0.5965,0.6087,0.5714,0.5992,0.55
Spec|SMOTE-tomek|K100|LR,0.5965,0.6087,0.6111,0.5992,0.57
Spec|NoSMOTE|PCA|ET,0.5965,0.6087,0.5714,0.6786,0.28
Spec|SMOTE-smote|K150|LR,0.5965,0.6087,0.5635,0.5992,0.43
Spec|SMOTE-smote|PCA|LGB,0.5965,0.6087,0.5159,0.5992,0.25
Spec|SMOTE-borderline|PCA|ET,0.5965,0.6087,0.6032,0.5992,0.41
Spec|SMOTE-tomek|K150|SVM_C10,0.5965,0.6087,0.5635,0.5992,0.35
SpecMFCC|SMOTE|PCA|MLP76,0.5893,0.6522,0.4762,0.5952,0.64
MLP_arch4h_a0.01_lr0.0005_s13,0.5893,0.6522,0.5635,0.5952,0.56
Spec|SMOTE-tomek|K150|LR,0.5893,0.6522,0.5873,0.5952,0.89
Spec|SMOTE-borderline|K75|LGB,0.5893,0.6522,0.4524,0.5952,0.63
SpecMFCC|SMOTE|K100|XGB,0.5893,0.6522,0.3968,0.5952,0.56
MLP_arch4h_a0.05_lr0.001_s13,0.5893,0.6522,0.5714,0.5952,0.61
SpecMFCC|Tomek|K100|XGB,0.5893,0.6522,0.4048,0.5952,0.52
MLP_arch4h_a0.05_lr0.0005_s13,0.5893,0.6522,0.5714,0.5952,0.56
Spec|SMOTE-tomek|PCA|GBM,0.5893,0.6522,0.6429,0.5952,0.52
Spec|SMOTE-borderline|K50|RF,0.5893,0.6522,0.4246,0.5952,0.52
Spec|SMOTE-smote|K150|LGB,0.5893,0.6522,0.4921,0.5952,0.89
Spec|SMOTE-smote|PCA|RF,0.5893,0.6522,0.6111,0.5952,0.46
Spec|NoSMOTE|K100|RF,0.5893,0.6522,0.3571,0.5952,0.41
Spec|SMOTE-tomek|K150|XGB,0.5818,0.6957,0.4841,0.6111,0.85
Spec|SMOTE-tomek|K75|LR,0.5818,0.6957,0.5635,0.6111,0.89
Spec|SMOTE-borderline|PCA|SVM_C10,0.5818,0.6957,0.4048,0.6111,0.63
Spec|SMOTE-borderline|K100|LGB,0.5818,0.6957,0.5635,0.6111,0.89
Spec|SMOTE-smote|K50|SVM_C100,0.5818,0.6957,0.5714,0.6111,0.58
Spec|SMOTE-borderline|K50|SVM_C100,0.5818,0.6957,0.4603,0.6111,0.6
Spec|SMOTE-smote|K75|LGB,0.5818,0.6957,0.3889,0.6111,0.8
MLP_arch4h_a0.001_lr0.005_s76,0.5801,0.6087,0.4683,0.5794,0.41
Spec|SMOTE-enn|K75|RF,0.5801,0.6087,0.5476,0.5794,0.68
SpecMFCC|NoSMOTE|K100|XGB,0.5801,0.6087,0.4286,0.5794,0.26
MLP_arch3h_a0.01_lr0.005_s0,0.5801,0.6087,0.5,0.5794,0.44
SpecMFCC|NoSMOTE|K100|LR,0.5801,0.6087,0.4603,0.5794,0.64
Spec|NoSMOTE|PCA|XGB,0.5801,0.6087,0.5556,0.5794,0.54
Spec|NoSMOTE|PCA|LGB,0.5801,0.6087,0.5238,0.5794,0.7
SpecMFCC|ENN|K100|LR,0.5801,0.6087,0.4127,0.5794,0.35
SpecMFCC|NoSMOTE|PCA|XGB,0.5801,0.6087,0.4524,0.5794,0.6
Spec|NoSMOTE|K150|XGB,0.5801,0.6087,0.5079,0.5794,0.47
Spec|SMOTE-smote|PCA|LR,0.5801,0.6087,0.4762,0.5794,0.52
Spec|SMOTE-borderline|PCA|LR,0.5801,0.6087,0.5,0.5794,0.52
Spec|SMOTE-borderline|K100|LR,0.5801,0.6087,0.5556,0.5794,0.63
Spec|SMOTE-tomek|K50|RF,0.5801,0.6087,0.4484,0.5794,0.44
SpecMFCC|Tomek|K100|LR,0.5801,0.6087,0.4921,0.5794,0.53
MLP_arch3h_a0.001_lr0.005_s99,0.5644,0.5652,0.5238,0.5833,0.21
MLP_arch3h_a0.001_lr0.005_s0,0.5644,0.5652,0.4683,0.5833,0.31
Spec|SMOTE-enn|K75|GBM,0.5644,0.5652,0.5556,0.5833,0.1
Spec|SMOTE-enn|K75|SVM_C10,0.5644,0.5652,0.4921,0.6032,0.42
SpecMFCC|SMOTE|K150|SVM,0.5644,0.5652,0.5079,0.6032,0.18
MLP_arch4h_a0.001_lr0.005_s99,0.5644,0.5652,0.4365,0.5833,0.1
Spec|SMOTE-tomek|PCA|LGB,0.5644,0.5652,0.5556,0.6032,0.1
MLP_arch3h_a0.01_lr0.005_s99,0.5644,0.5652,0.5238,0.5833,0.22
Spec|SMOTE-borderline|K100|SVM_C100,0.5644,0.5652,0.5317,0.6032,0.18
Spec|SMOTE-borderline|K100|SVM_C10,0.5644,0.5652,0.5317,0.6032,0.19
MLP_arch3h_a0.1_lr0.005_s99,0.5644,0.5652,0.5476,0.5833,0.19
Spec|SMOTE-tomek|K150|LGB,0.5644,0.5652,0.4921,0.5833,0.29
MLP_arch3h_a0.05_lr0.005_s0,0.5644,0.5652,0.5079,0.5833,0.35
MLP_arch3h_a0.1_lr0.005_s0,0.5644,0.5652,0.4603,0.5833,0.32
Spec|SMOTE-smote|K100|SVM_C10,0.5644,0.5652,0.5556,0.6032,0.34
Spec|SMOTE-smote|K100|SVM_C100,0.5644,0.5652,0.5516,0.6032,0.34
Spec|SMOTE-smote|K150|SVM_C10,0.5644,0.5652,0.4921,0.5833,0.3
Spec|SMOTE-smote|K150|SVM_C100,0.5644,0.5652,0.4921,0.5833,0.28
SpecMFCC|NoSMOTE|K100|SVM,0.5644,0.5652,0.5,0.5833,0.31
SpecMFCC|SMOTE|K100|SVM,0.5644,0.5652,0.5476,0.5833,0.24
Spec|SMOTE-enn|PCA|ET,0.5644,0.5652,0.4524,0.5833,0.61
Spec|SMOTE-enn|K150|GBM,0.5644,0.5652,0.5873,0.5833,0.1
Spec|NoSMOTE|PCA|RF,0.5577,0.5652,0.4881,0.5635,0.37
MLP_arch4h_a0.01_lr0.0005_s99,0.5577,0.5652,0.4365,0.5635,0.32
MLP_arch4h_a0.001_lr0.001_s99,0.5577,0.5652,0.4603,0.5635,0.31
MLP_arch4h_a0.1_lr0.001_s99,0.5577,0.5652,0.4365,0.5635,0.32
Spec|SMOTE-tomek|K100|RF,0.5577,0.5652,0.4643,0.5635,0.41
Spec|SMOTE-tomek|K150|RF,0.5577,0.5652,0.4841,0.5635,0.37
MLP_arch4h_a0.05_lr0.005_s0,0.5577,0.5652,0.4286,0.623,0.18
MLP_arch4h_a0.05_lr0.0005_s99,0.5577,0.5652,0.4365,0.5635,0.33
MLP_arch4h_a0.05_lr0.001_s99,0.5577,0.5652,0.4524,0.5635,0.32
MLP_arch4h_a0.01_lr0.005_s0,0.5577,0.5652,0.5635,0.5635,0.53
Spec|SMOTE-enn|K50|RF,0.5577,0.5652,0.4444,0.5635,0.52
SpecMFCC|Tomek|K100|SVM,0.5577,0.5652,0.5476,0.5635,0.27
SpecMFCC|SMOTE|PCA|SVM,0.5577,0.5652,0.5476,0.623,0.26
Spec|SMOTE-enn|K75|SVM_C100,0.5577,0.5652,0.5079,0.5635,0.59
MLP_arch4h_a0.01_lr0.001_s99,0.5577,0.5652,0.4603,0.5635,0.31
Spec|SMOTE-borderline|K150|SVM_C10,0.5577,0.5652,0.4762,0.623,0.19
Spec|SMOTE-borderline|K150|SVM_C100,0.5577,0.5652,0.5159,0.623,0.19
MLP_arch4h_a0.1_lr0.0005_s99,0.5577,0.5652,0.4365,0.5635,0.33
MLP_arch4h_a0.1_lr0.005_s0,0.5577,0.5652,0.5635,0.5635,0.56
SpecMFCC|Tomek|K100|LGB,0.5548,0.6087,0.4444,0.5595,0.66
SpecMFCC|SMOTE|K150|LGB,0.5548,0.6087,0.4683,0.5595,0.77
SpecMFCC|SMOTE|K150|XGB,0.5548,0.6087,0.4206,0.5595,0.63
Spec|SMOTE-enn|K150|SVM_C10,0.5548,0.6087,0.5079,0.5595,0.7
MLP_arch4h_a0.05_lr0.001_s76,0.5548,0.6087,0.4683,0.5595,0.77
Spec|SMOTE-enn|K50|SVM_C100,0.5548,0.6087,0.4921,0.5595,0.46
SpecMFCC|NoSMOTE|PCA|MLP76,0.5548,0.6087,0.5079,0.5595,0.69
Spec|SMOTE-enn|K150|SVM_C100,0.5548,0.6087,0.5,0.5595,0.73
Spec|NoSMOTE|K150|GBM,0.549,0.6522,0.3571,0.5754,0.4
Spec|SMOTE-smote|K150|GBM,0.549,0.6522,0.3333,0.5754,0.86
Spec|NoSMOTE|K150|LGB,0.549,0.6522,0.3413,0.5754,0.82
Spec|SMOTE-borderline|K100|GBM,0.549,0.6522,0.5556,0.5754,0.73
Spec|SMOTE-tomek|K50|XGB,0.549,0.6522,0.2619,0.5754,0.88
Spec|SMOTE-tomek|K50|GBM,0.549,0.6522,0.3571,0.5754,0.81
Spec|SMOTE-borderline|PCA|XGB,0.549,0.6522,0.5476,0.5754,0.73
Spec|SMOTE-smote|K50|XGB,0.549,0.6522,0.4524,0.5754,0.86
Spec|SMOTE-smote|K75|XGB,0.549,0.6522,0.4206,0.5754,0.89
Spec|SMOTE-smote|K100|GBM,0.549,0.6522,0.4286,0.5754,0.77
Spec|SMOTE-smote|K100|LGB,0.549,0.6522,0.3968,0.5754,0.86
Spec|SMOTE-smote|K100|XGB,0.549,0.6522,0.3968,0.5754,0.86
Spec|SMOTE-smote|K75|RF,0.549,0.6522,0.3968,0.5754,0.55
SpecMFCC|NoSMOTE|K100|LGB,0.549,0.6522,0.4683,0.5754,0.78
Spec|SMOTE-tomek|K100|SVM_C100,0.549,0.6522,0.5238,0.5754,0.59
Spec|SMOTE-tomek|K100|SVM_C10,0.549,0.6522,0.5159,0.5754,0.61
Spec|NoSMOTE|K50|XGB,0.549,0.6522,0.4683,0.5754,0.87
Spec|SMOTE-borderline|K75|XGB,0.549,0.6522,0.3492,0.5754,0.81
Spec|SMOTE-borderline|K100|XGB,0.549,0.6522,0.4524,0.5754,0.76
Spec|SMOTE-borderline|K150|XGB,0.549,0.6522,0.3651,0.5754,0.57
Spec|SMOTE-borderline|K150|GBM,0.549,0.6522,0.3254,0.5754,0.56
Spec|SMOTE-tomek|K75|XGB,0.549,0.6522,0.2937,0.5754,0.89
Spec|SMOTE-tomek|K50|LGB,0.549,0.6522,0.373,0.5754,0.87
Spec|SMOTE-smote|K75|SVM_C100,0.5437,0.5652,0.4524,0.6429,0.22
Spec|SMOTE-smote|K150|RF,0.5437,0.5652,0.4722,0.5437,0.4
Spec|SMOTE-smote|K100|RF,0.5437,0.5652,0.4087,0.5437,0.41
Spec|SMOTE-smote|K150|XGB,0.5437,0.5652,0.4841,0.5437,0.49
Spec|SMOTE-borderline|PCA|LGB,0.5437,0.5652,0.5079,0.5437,0.46
MLP_arch4h_a0.001_lr0.001_s0,0.5437,0.5652,0.3968,0.5437,0.41
MLP_arch4h_a0.01_lr0.001_s0,0.5437,0.5652,0.4048,0.5437,0.41
SpecMFCC|Tomek|K100|MLP76,0.5437,0.5652,0.4524,0.5437,0.36
Spec|SMOTE-enn|PCA|RF,0.5437,0.5652,0.5198,0.6429,0.54
SpecMFCC|NoSMOTE|PCA|SVM,0.5217,0.5217,0.4524,0.5476,0.38
Spec|SMOTE-enn|PCA|XGB,0.5217,0.5217,0.4206,0.5476,0.26
SpecMFCC|NoSMOTE|PCA|LR,0.5217,0.5217,0.5,0.5476,0.1
Spec|SMOTE-enn|K150|ET,0.5217,0.5217,0.4643,0.5476,0.51
Spec|SMOTE-borderline|K50|XGB,0.5217,0.5217,0.4524,0.5476,0.13
SpecMFCC|SMOTE|K150|MLP76,0.5208,0.5652,0.4524,0.5238,0.35
Spec|SMOTE-smote|K50|LGB,0.5208,0.5652,0.4683,0.5238,0.55
MLP_arch4h_a0.001_lr0.001_s76,0.5208,0.5652,0.4603,0.5238,0.77
MLP_arch4h_a0.001_lr0.0005_s76,0.5208,0.5652,0.4603,0.5238,0.69
Spec|SMOTE-tomek|K100|LGB,0.5208,0.5652,0.4286,0.5238,0.63
Spec|SMOTE-tomek|K150|GBM,0.5208,0.5652,0.4762,0.5238,0.52
Spec|SMOTE-enn|K50|SVM_C10,0.5208,0.5652,0.4524,0.5238,0.41
SpecMFCC|SMOTE|PCA|LR,0.5208,0.5652,0.5238,0.5238,0.89
Spec|SMOTE-tomek|K50|SVM_C100,0.5208,0.5652,0.4444,0.5238,0.45
Spec|NoSMOTE|K75|RF,0.5208,0.5652,0.3492,0.5238,0.38
Spec|SMOTE-borderline|PCA|SVM_C100,0.5208,0.5652,0.3968,0.5238,0.52
Spec|NoSMOTE|K150|RF,0.5208,0.5652,0.3333,0.5238,0.37
Spec|SMOTE-smote|K50|RF,0.5208,0.5652,0.3849,0.5238,0.44
Spec|SMOTE-smote|K50|SVM_C10,0.5208,0.5652,0.5159,0.5238,0.51
Spec|SMOTE-tomek|K50|SVM_C10,0.5181,0.5217,0.4286,0.5675,0.25
Spec|NoSMOTE|K150|SVM_C10,0.5181,0.5217,0.4921,0.5278,0.38
SpecMFCC|ENN|K100|SVM,0.5181,0.5217,0.4365,0.5675,0.1
Spec|SMOTE-tomek|K75|SVM_C10,0.5181,0.5217,0.4365,0.5278,0.25
Spec|NoSMOTE|K50|SVM_C100,0.5181,0.5217,0.5159,0.5278,0.38
MLP_arch4h_a0.05_lr0.005_s99,0.5181,0.5217,0.4365,0.5278,0.11
MLP_arch4h_a0.001_lr0.0005_s99,0.5181,0.5217,0.4365,0.5675,0.25
Spec|SMOTE-enn|K50|GBM,0.5181,0.5217,0.4603,0.5278,0.8
MLP_arch4h_a0.05_lr0.005_s76,0.5181,0.5217,0.4444,0.5278,0.39
Spec|SMOTE-borderline|K75|SVM_C100,0.5181,0.5217,0.4762,0.5675,0.22
MLP_arch4h_a0.1_lr0.005_s99,0.5181,0.5217,0.4048,0.5278,0.1
Spec|SMOTE-borderline|K75|SVM_C10,0.5181,0.5217,0.5,0.5675,0.22
Spec|NoSMOTE|K150|SVM_C100,0.5181,0.5217,0.4921,0.5278,0.38
Spec|NoSMOTE|K50|LGB,0.5175,0.6087,0.3175,0.5397,0.89
Spec|SMOTE-borderline|K75|GBM,0.5175,0.6087,0.3095,0.5397,0.44
Spec|SMOTE-borderline|K150|RF,0.5175,0.6087,0.3532,0.5397,0.5
Spec|NoSMOTE|K75|LGB,0.5175,0.6087,0.3016,0.5397,0.84
Spec|SMOTE-tomek|K100|GBM,0.5175,0.6087,0.4444,0.5397,0.62
SpecMFCC|SMOTE|K150|LR,0.5175,0.6087,0.4286,0.5397,0.84
Spec|SMOTE-borderline|K50|GBM,0.5175,0.6087,0.3968,0.5397,0.34
Spec|SMOTE-borderline|K75|RF,0.5175,0.6087,0.3929,0.5397,0.5
Spec|SMOTE-smote|PCA|SVM_C10,0.5175,0.6087,0.3571,0.5397,0.61
Spec|SMOTE-smote|PCA|SVM_C100,0.5175,0.6087,0.3571,0.5397,0.61
Spec|NoSMOTE|K75|GBM,0.5175,0.6087,0.246,0.5397,0.31
Spec|NoSMOTE|K100|GBM,0.5175,0.6087,0.2937,0.5397,0.38
Spec|NoSMOTE|K50|GBM,0.5175,0.6087,0.3492,0.5397,0.81
Spec|NoSMOTE|K100|LGB,0.5175,0.6087,0.3095,0.5397,0.86
SpecMFCC|SMOTE|K100|LR,0.5175,0.6087,0.4206,0.5397,0.75
Spec|NoSMOTE|K100|XGB,0.5175,0.6087,0.4286,0.5397,0.75
Spec|SMOTE-smote|K50|GBM,0.5175,0.6087,0.3333,0.5397,0.68
Spec|SMOTE-smote|K75|GBM,0.5175,0.6087,0.3095,0.5397,0.65
Spec|SMOTE-tomek|K75|RF,0.5175,0.6087,0.3571,0.5397,0.48
Spec|SMOTE-tomek|K75|GBM,0.5175,0.6087,0.3016,0.5397,0.64
Spec|NoSMOTE|K75|XGB,0.5175,0.6087,0.3968,0.5397,0.8
SpecMFCC|NoSMOTE|PCA|LGB,0.5068,0.5217,0.373,0.5079,0.48
Spec|NoSMOTE|PCA|LR,0.5068,0.5217,0.4444,0.5873,0.19
Spec|SMOTE-smote|K75|SVM_C10,0.5068,0.5217,0.4286,0.5873,0.24
MLP_arch4h_a0.1_lr0.001_s0,0.5068,0.5217,0.3968,0.5079,0.4
MLP_arch4h_a0.05_lr0.001_s0,0.5068,0.5217,0.4048,0.5079,0.4
Spec|NoSMOTE|K50|SVM_C10,0.5068,0.5217,0.5079,0.5873,0.37
Spec|SMOTE-tomek|K75|SVM_C100,0.5068,0.5217,0.4683,0.5873,0.15
SpecMFCC|SMOTE|PCA|LGB,0.5068,0.5217,0.373,0.5079,0.59
Spec|SMOTE-tomek|K100|ET,0.5068,0.5217,0.4167,0.5079,0.39
Spec|SMOTE-tomek|PCA|SVM_C10,0.4889,0.6522,0.3889,0.5556,0.63
Spec|SMOTE-tomek|PCA|SVM_C100,0.4889,0.6522,0.381,0.5556,0.64
Spec|SMOTE-enn|K150|XGB,0.4868,0.5217,0.3254,0.4881,0.27
SpecMFCC|SMOTE|K100|LGB,0.4868,0.5217,0.4127,0.4881,0.3
MLP_arch4h_a0.01_lr0.0005_s76,0.4868,0.5217,0.4444,0.4881,0.59
MLP_arch4h_a0.01_lr0.001_s76,0.4868,0.5217,0.4524,0.4881,0.71
MLP_arch4h_a0.1_lr0.0005_s76,0.4868,0.5217,0.4365,0.4881,0.58
