Experiment,Test F1 Macro,Test Accuracy,Test AUC,Test Recall,Threshold
K200|enn|a0.01|s0,0.7386,0.7391,0.7063,0.7857,0.66
K120|enn|a0.001|s13,0.7386,0.7391,0.746,0.7659,0.49
K110|tomek|a0.001|s0,0.7346,0.7391,0.6032,0.746,0.46
MLP_s13_a0.001_lr0.001,0.7346,0.7391,0.7381,0.746,0.46
MLP_s251_a0.05_lr0.0005,0.7346,0.7391,0.6825,0.746,0.46
K100|enn|a0.05|s76,0.7346,0.7391,0.6905,0.746,0.75
K110|smote|a0.05|s0,0.7346,0.7391,0.627,0.746,0.44
K110|smote|a0.01|s0,0.7346,0.7391,0.627,0.746,0.44
K60|enn|a0.05|s42,0.7346,0.7391,0.6587,0.746,0.79
MLP_s67_a0.05_lr0.001,0.7346,0.7391,0.6349,0.746,0.37
MLP_s142_a0.01_lr0.0005,0.7346,0.7391,0.7143,0.746,0.49
MLP_s142_a0.001_lr0.0005,0.7346,0.7391,0.7222,0.746,0.49
MLP_s142_a0.05_lr0.0005,0.7346,0.7391,0.7143,0.746,0.49
MLP_s237_a0.05_lr0.001,0.7346,0.7391,0.6587,0.746,0.39
MLP_s67_a0.01_lr0.001,0.7346,0.7391,0.6349,0.746,0.36
MLP_s67_a0.001_lr0.001,0.7346,0.7391,0.6429,0.746,0.36
MLP_s13_a0.05_lr0.001,0.7346,0.7391,0.7381,0.746,0.46
MLP_s251_a0.01_lr0.0005,0.7346,0.7391,0.6905,0.746,0.46
K60|enn|a0.01|s42,0.7346,0.7391,0.6587,0.746,0.8
MLP_s140_a0.01_lr0.001,0.7346,0.7391,0.7302,0.746,0.49
MLP_s237_a0.001_lr0.001,0.7346,0.7391,0.6587,0.746,0.39
MLP_s140_a0.001_lr0.001,0.7346,0.7391,0.7302,0.746,0.49
MLP_s251_a0.001_lr0.0005,0.7346,0.7391,0.6905,0.746,0.46
MLP_s200_a0.01_lr0.001,0.7346,0.7391,0.6746,0.746,0.39
MLP_s200_a0.001_lr0.001,0.7346,0.7391,0.6746,0.746,0.39
MLP_s200_a0.05_lr0.001,0.7346,0.7391,0.6667,0.746,0.39
K110|smote|a0.001|s0,0.7346,0.7391,0.619,0.746,0.44
MLP_s140_a0.05_lr0.001,0.7346,0.7391,0.7302,0.746,0.49
K110|tomek|a0.05|s99,0.7346,0.7391,0.6349,0.746,0.34
MLP_s237_a0.01_lr0.001,0.7346,0.7391,0.6587,0.746,0.39
MLP_s60_a0.01_lr0.0005,0.7346,0.7391,0.619,0.746,0.43
MLP_s60_a0.05_lr0.0005,0.7346,0.7391,0.619,0.746,0.43
K110|tomek|a0.01|s0,0.7346,0.7391,0.6111,0.746,0.46
K110|tomek|a0.01|s99,0.7346,0.7391,0.6349,0.746,0.33
K110|tomek|a0.001|s99,0.7346,0.7391,0.6349,0.746,0.33
K60|enn|a0.001|s42,0.7346,0.7391,0.6587,0.746,0.8
MLP_s198_a0.001_lr0.0005,0.7319,0.7826,0.627,0.7222,0.52
K90|enn|a0.05|s13,0.7319,0.7826,0.7143,0.7222,0.58
K90|enn|a0.001|s13,0.7319,0.7826,0.7063,0.7222,0.58
MLP_s140_a0.01_lr0.0005,0.7319,0.7826,0.7381,0.7222,0.55
MLP_s198_a0.01_lr0.0005,0.7319,0.7826,0.627,0.7222,0.52
MLP_s198_a0.05_lr0.0005,0.7319,0.7826,0.627,0.7222,0.52
MLP_s140_a0.05_lr0.0005,0.7319,0.7826,0.7381,0.7222,0.55
K60|enn|a0.01|s99,0.7319,0.7826,0.7778,0.7222,0.75
MLP_s140_a0.001_lr0.0005,0.7319,0.7826,0.7381,0.7222,0.55
K90|enn|a0.01|s13,0.7319,0.7826,0.7063,0.7222,0.58
MLP_s8_a0.01_lr0.001,0.7262,0.7391,0.6111,0.7262,0.45
MLP_s8_a0.001_lr0.001,0.7262,0.7391,0.6111,0.7262,0.45
MLP_s263_a0.001_lr0.001,0.7262,0.7391,0.6667,0.7262,0.43
MLP_s263_a0.01_lr0.0005,0.7262,0.7391,0.6508,0.7262,0.41
MLP_s205_a0.05_lr0.0005,0.7262,0.7391,0.7063,0.7262,0.49
MLP_s92_a0.001_lr0.0005,0.7262,0.7391,0.6429,0.7262,0.43
MLP_s92_a0.01_lr0.0005,0.7262,0.7391,0.6429,0.7262,0.43
MLP_s263_a0.01_lr0.001,0.7262,0.7391,0.6587,0.7262,0.42
MLP_s154_a0.05_lr0.001,0.7262,0.7391,0.6032,0.7262,0.34
MLP_s263_a0.05_lr0.0005,0.7262,0.7391,0.6508,0.7262,0.41
MLP_s205_a0.01_lr0.0005,0.7262,0.7391,0.7063,0.7262,0.49
MLP_s263_a0.001_lr0.0005,0.7262,0.7391,0.6587,0.7262,0.42
MLP_s92_a0.05_lr0.0005,0.7262,0.7391,0.6349,0.7262,0.43
K100|enn|a0.01|s99,0.7262,0.7391,0.6667,0.7262,0.78
MLP_s154_a0.01_lr0.001,0.7262,0.7391,0.5952,0.7262,0.34
MLP_s42_a0.01_lr0.001,0.7262,0.7391,0.5794,0.7262,0.41
MLP_s263_a0.05_lr0.001,0.7262,0.7391,0.6746,0.7262,0.42
MLP_s8_a0.05_lr0.001,0.7262,0.7391,0.619,0.7262,0.45
K100|enn|a0.01|s42,0.7262,0.7391,0.6984,0.7262,0.46
K150|enn|a0.001|s76,0.7262,0.7391,0.619,0.7262,0.5
K100|enn|a0.05|s99,0.7262,0.7391,0.6667,0.7262,0.78
MLP_s293_a0.05_lr0.001,0.7262,0.7391,0.6508,0.7262,0.35
K100|adasyn|a0.05|s42,0.7262,0.7391,0.6349,0.7262,0.49
MLP_s293_a0.001_lr0.0005,0.7262,0.7391,0.6429,0.7262,0.33
MLP_s293_a0.001_lr0.001,0.7262,0.7391,0.6508,0.7262,0.35
MLP_s293_a0.05_lr0.0005,0.7262,0.7391,0.6429,0.7262,0.33
MLP_s293_a0.01_lr0.001,0.7262,0.7391,0.6508,0.7262,0.36
MLP_s293_a0.01_lr0.0005,0.7262,0.7391,0.6508,0.7262,0.33
MLP_s205_a0.001_lr0.0005,0.7262,0.7391,0.7063,0.7262,0.49
MLP_s42_a0.05_lr0.001,0.7262,0.7391,0.5794,0.7262,0.41
K100|enn|a0.001|s42,0.7262,0.7391,0.6984,0.7262,0.46
K100|enn|a0.001|s0,0.7262,0.7391,0.6587,0.7262,0.47
K100|enn|a0.001|s99,0.7262,0.7391,0.6667,0.7262,0.77
MLP_s42_a0.001_lr0.001,0.7262,0.7391,0.5794,0.7262,0.41
K100|enn|a0.05|s42,0.7262,0.7391,0.6984,0.7262,0.46
K100|adasyn|a0.001|s42,0.7262,0.7391,0.6349,0.7262,0.5
MLP_s154_a0.05_lr0.0005,0.7262,0.7391,0.5952,0.7262,0.34
MLP_s154_a0.01_lr0.0005,0.7262,0.7391,0.5952,0.7262,0.34
MLP_s154_a0.001_lr0.0005,0.7262,0.7391,0.5952,0.7262,0.34
MLP_s154_a0.001_lr0.001,0.7262,0.7391,0.5952,0.7262,0.34
K150|enn|a0.05|s76,0.7262,0.7391,0.619,0.7262,0.5
K150|enn|a0.01|s76,0.7262,0.7391,0.619,0.7262,0.5
MLP_s8_a0.001_lr0.0005,0.7125,0.7391,0.7063,0.7063,0.48
MLP_s143_a0.05_lr0.0005,0.7125,0.7391,0.7063,0.7063,0.53
MLP_s143_a0.01_lr0.001,0.7125,0.7391,0.7143,0.7063,0.53
K80|tomek|a0.001|s0,0.7125,0.7391,0.6349,0.7063,0.61
K80|tomek|a0.05|s0,0.7125,0.7391,0.6429,0.7063,0.58
MLP_s8_a0.01_lr0.0005,0.7125,0.7391,0.7063,0.7063,0.48
MLP_s223_a0.001_lr0.0005,0.7125,0.7391,0.746,0.7063,0.46
MLP_s223_a0.01_lr0.0005,0.7125,0.7391,0.746,0.7063,0.46
MLP_s46_a0.05_lr0.0005,0.7125,0.7391,0.6429,0.7063,0.48
MLP_s286_a0.001_lr0.001,0.7125,0.7391,0.6429,0.7063,0.47
MLP_s286_a0.01_lr0.001,0.7125,0.7391,0.6429,0.7063,0.47
MLP_s143_a0.05_lr0.001,0.7125,0.7391,0.7143,0.7063,0.53
K100|adasyn|a0.01|s42,0.7125,0.7391,0.6032,0.7063,0.53
K110|enn|a0.05|s99,0.7125,0.7391,0.7302,0.7063,0.6
K110|tomek|a0.05|s76,0.7125,0.7391,0.6984,0.7063,0.49
MLP_s286_a0.05_lr0.001,0.7125,0.7391,0.6587,0.7063,0.47
K130|enn|a0.001|s42,0.7125,0.7391,0.6905,0.7063,0.67
K110|enn|a0.001|s99,0.7125,0.7391,0.7302,0.7063,0.6
K110|enn|a0.01|s99,0.7125,0.7391,0.7302,0.7063,0.6
K130|enn|a0.01|s42,0.7125,0.7391,0.6905,0.7063,0.67
K130|enn|a0.05|s42,0.7125,0.7391,0.6825,0.7063,0.67
MLP_s223_a0.05_lr0.0005,0.7125,0.7391,0.746,0.7063,0.46
K80|tomek|a0.01|s0,0.7125,0.7391,0.6429,0.7063,0.59
MLP_s143_a0.001_lr0.0005,0.7125,0.7391,0.6984,0.7063,0.53
MLP_s143_a0.001_lr0.001,0.7125,0.7391,0.7143,0.7063,0.53
MLP_s143_a0.01_lr0.0005,0.7125,0.7391,0.6984,0.7063,0.53
MLP_s8_a0.05_lr0.0005,0.7125,0.7391,0.7063,0.7063,0.48
MLP_s66_a0.01_lr0.001,0.6957,0.6957,0.6984,0.7302,0.47
K110|adasyn|a0.001|s13,0.6957,0.6957,0.6429,0.7302,0.49
MLP_s66_a0.05_lr0.001,0.6957,0.6957,0.6984,0.7302,0.47
K110|adasyn|a0.05|s13,0.6957,0.6957,0.6508,0.7302,0.49
K110|adasyn|a0.01|s13,0.6957,0.6957,0.6429,0.7302,0.49
MLP_s192_a0.05_lr0.001,0.6933,0.6957,0.5952,0.7103,0.39
MLP_s60_a0.001_lr0.001,0.6933,0.6957,0.6508,0.7103,0.43
MLP_s161_a0.01_lr0.0005,0.6933,0.6957,0.6032,0.7103,0.28
MLP_s192_a0.01_lr0.0005,0.6933,0.6957,0.5952,0.7103,0.42
MLP_s162_a0.05_lr0.0005,0.6933,0.6957,0.6587,0.7103,0.46
MLP_s92_a0.001_lr0.001,0.6933,0.6957,0.6508,0.7103,0.37
K110|smote|a0.01|s13,0.6933,0.6957,0.6587,0.7103,0.53
MLP_s225_a0.05_lr0.0005,0.6933,0.6957,0.6905,0.7103,0.46
K110|smote|a0.05|s13,0.6933,0.6957,0.6587,0.7103,0.53
MLP_s225_a0.01_lr0.001,0.6933,0.6957,0.627,0.7103,0.47
K110|enn|a0.05|s13,0.6933,0.6957,0.6746,0.7103,0.58
K100|enn|a0.01|s13,0.6933,0.6957,0.6587,0.7103,0.63
K100|enn|a0.05|s13,0.6933,0.6957,0.6587,0.7103,0.63
K110|smote|a0.001|s13,0.6933,0.6957,0.6587,0.7103,0.53
MLP_s60_a0.001_lr0.0005,0.6933,0.6957,0.619,0.7103,0.4
MLP_s279_a0.05_lr0.001,0.6933,0.6957,0.5714,0.7103,0.4
MLP_s225_a0.05_lr0.001,0.6933,0.6957,0.627,0.7103,0.47
MLP_s225_a0.001_lr0.001,0.6933,0.6957,0.627,0.7103,0.47
K100|enn|a0.001|s13,0.6933,0.6957,0.6587,0.7103,0.63
MLP_s161_a0.001_lr0.0005,0.6933,0.6957,0.6032,0.7103,0.3
MLP_s162_a0.001_lr0.0005,0.6933,0.6957,0.6746,0.7103,0.46
MLP_s162_a0.01_lr0.0005,0.6933,0.6957,0.6746,0.7103,0.46
MLP_s192_a0.001_lr0.0005,0.6933,0.6957,0.6032,0.7103,0.42
MLP_s192_a0.001_lr0.001,0.6933,0.6957,0.5952,0.7103,0.4
MLP_s81_a0.001_lr0.001,0.6933,0.6957,0.5714,0.7103,0.22
MLP_s81_a0.01_lr0.001,0.6933,0.6957,0.5714,0.7103,0.23
MLP_s81_a0.05_lr0.001,0.6933,0.6957,0.5714,0.7103,0.25
MLP_s161_a0.05_lr0.0005,0.6933,0.6957,0.6032,0.7103,0.3
MLP_s207_a0.05_lr0.001,0.6933,0.6957,0.619,0.7103,0.25
MLP_s240_a0.05_lr0.0005,0.6933,0.6957,0.6429,0.7103,0.29
MLP_s279_a0.001_lr0.001,0.6933,0.6957,0.5794,0.7103,0.42
K110|tomek|a0.05|s0,0.6933,0.6957,0.6032,0.7103,0.41
K110|enn|a0.001|s13,0.6933,0.6957,0.6746,0.7103,0.58
MLP_s192_a0.05_lr0.0005,0.6933,0.6957,0.5952,0.7103,0.42
MLP_s192_a0.01_lr0.001,0.6933,0.6957,0.5952,0.7103,0.4
MLP_s219_a0.01_lr0.0005,0.6933,0.6957,0.6349,0.7103,0.29
MLP_s17_a0.05_lr0.001,0.6933,0.6957,0.6349,0.7103,0.42
MLP_s17_a0.001_lr0.001,0.6933,0.6957,0.6429,0.7103,0.42
MLP_s60_a0.01_lr0.001,0.6933,0.6957,0.6508,0.7103,0.43
MLP_s60_a0.05_lr0.001,0.6933,0.6957,0.6508,0.7103,0.43
K110|enn|a0.01|s13,0.6933,0.6957,0.6667,0.7103,0.58
K60|enn|a0.05|s13,0.6933,0.6957,0.6667,0.7103,0.48
MLP_s46_a0.001_lr0.001,0.6933,0.6957,0.6667,0.7103,0.43
MLP_s94_a0.01_lr0.001,0.692,0.7391,0.5794,0.6865,0.59
MLP_s94_a0.05_lr0.001,0.692,0.7391,0.5714,0.6865,0.58
MLP_s251_a0.001_lr0.001,0.692,0.7391,0.6667,0.6865,0.51
K60|enn|a0.05|s99,0.692,0.7391,0.7778,0.6865,0.7
MLP_s15_a0.01_lr0.0005,0.692,0.7391,0.4841,0.6865,0.5
MLP_s19_a0.05_lr0.0005,0.692,0.7391,0.5238,0.6865,0.56
MLP_s111_a0.01_lr0.0005,0.692,0.7391,0.5794,0.6865,0.46
MLP_s19_a0.001_lr0.0005,0.692,0.7391,0.5238,0.6865,0.56
MLP_s111_a0.05_lr0.001,0.692,0.7391,0.6032,0.6865,0.44
MLP_s111_a0.05_lr0.0005,0.692,0.7391,0.5873,0.6865,0.45
MLP_s111_a0.001_lr0.0005,0.692,0.7391,0.5794,0.6865,0.45
K110|tomek|a0.001|s76,0.692,0.7391,0.6984,0.6865,0.51
K100|enn|a0.01|s0,0.692,0.7391,0.6587,0.6865,0.49
K100|enn|a0.05|s0,0.692,0.7391,0.6587,0.6865,0.49
K110|tomek|a0.01|s76,0.692,0.7391,0.7063,0.6865,0.51
K150|enn|a0.01|s0,0.692,0.7391,0.5635,0.6865,0.58
K130|enn|a0.05|s99,0.692,0.7391,0.7222,0.6865,0.57
K130|enn|a0.01|s99,0.692,0.7391,0.7222,0.6865,0.57
K130|enn|a0.001|s99,0.692,0.7391,0.7222,0.6865,0.57
K150|enn|a0.05|s0,0.692,0.7391,0.5635,0.6865,0.58
K150|enn|a0.001|s0,0.692,0.7391,0.5635,0.6865,0.58
MLP_s94_a0.001_lr0.001,0.692,0.7391,0.5794,0.6865,0.59
MLP_s19_a0.01_lr0.0005,0.692,0.7391,0.5238,0.6865,0.56
K60|enn|a0.001|s99,0.692,0.7391,0.7619,0.6865,0.7
MLP_s251_a0.01_lr0.001,0.692,0.7391,0.6667,0.6865,0.51
MLP_s251_a0.05_lr0.001,0.692,0.7391,0.6667,0.6865,0.51
K120|smote|a0.05|s99,0.6862,0.6957,0.7063,0.6905,0.44
MLP_s200_a0.001_lr0.0005,0.6862,0.6957,0.6667,0.6905,0.41
K200|tomek|a0.05|s13,0.6862,0.6957,0.6429,0.6905,0.44
K130|enn|a0.001|s13,0.6862,0.6957,0.6905,0.6905,0.54
MLP_s282_a0.01_lr0.0005,0.6862,0.6957,0.5714,0.6905,0.36
MLP_s282_a0.001_lr0.0005,0.6862,0.6957,0.5714,0.6905,0.36
K150|border|a0.01|s76,0.6862,0.6957,0.6111,0.6905,0.46
K150|tomek|a0.001|s42,0.6862,0.6957,0.5476,0.6905,0.42
MLP_s223_a0.01_lr0.001,0.6862,0.6957,0.6349,0.6905,0.39
K150|tomek|a0.05|s42,0.6862,0.6957,0.5476,0.6905,0.42
K150|tomek|a0.01|s42,0.6862,0.6957,0.5476,0.6905,0.42
K200|smote|a0.05|s0,0.6862,0.6957,0.6032,0.6905,0.56
K110|tomek|a0.01|s13,0.6862,0.6957,0.6429,0.6905,0.54
K150|border|a0.001|s76,0.6862,0.6957,0.6111,0.6905,0.46
K150|border|a0.05|s76,0.6862,0.6957,0.619,0.6905,0.46
K200|smote|a0.01|s0,0.6862,0.6957,0.6032,0.6905,0.56
K200|smote|a0.001|s0,0.6862,0.6957,0.6032,0.6905,0.56
MLP_s223_a0.05_lr0.001,0.6862,0.6957,0.6349,0.6905,0.26
MLP_s282_a0.05_lr0.0005,0.6862,0.6957,0.5714,0.6905,0.36
K130|enn|a0.01|s13,0.6862,0.6957,0.6905,0.6905,0.54
MLP_s67_a0.05_lr0.0005,0.6862,0.6957,0.7302,0.6905,0.49
K150|adasyn|a0.001|s0,0.6862,0.6957,0.5873,0.6905,0.35
K150|adasyn|a0.01|s76,0.6862,0.6957,0.627,0.6905,0.48
MLP_s67_a0.001_lr0.0005,0.6862,0.6957,0.7302,0.6905,0.49
K130|enn|a0.05|s13,0.6862,0.6957,0.6905,0.6905,0.54
MLP_s67_a0.01_lr0.0005,0.6862,0.6957,0.7302,0.6905,0.49
K150|smote|a0.001|s76,0.6862,0.6957,0.6111,0.6905,0.46
K110|tomek|a0.001|s13,0.6862,0.6957,0.6429,0.6905,0.54
MLP_s42_a0.001_lr0.0005,0.6862,0.6957,0.5952,0.6905,0.44
MLP_s125_a0.05_lr0.0005,0.6862,0.6957,0.5952,0.6905,0.42
MLP_s200_a0.05_lr0.0005,0.6862,0.6957,0.6667,0.6905,0.41
MLP_s200_a0.01_lr0.0005,0.6862,0.6957,0.6667,0.6905,0.41
MLP_s245_a0.001_lr0.0005,0.6862,0.6957,0.7143,0.6905,0.54
Stack_3base,0.6862,0.6957,0.5952,0.6905,0.47
MLP_s125_a0.001_lr0.0005,0.6862,0.6957,0.5873,0.6905,0.42
MLP_s42_a0.05_lr0.0005,0.6862,0.6957,0.5952,0.6905,0.44
MLP_s245_a0.05_lr0.0005,0.6862,0.6957,0.7143,0.6905,0.54
MLP_s245_a0.01_lr0.0005,0.6862,0.6957,0.7063,0.6905,0.54
MLP_s207_a0.01_lr0.001,0.6862,0.6957,0.627,0.6905,0.34
MLP_s207_a0.05_lr0.0005,0.6862,0.6957,0.619,0.6905,0.39
MLP_s125_a0.01_lr0.0005,0.6862,0.6957,0.5794,0.6905,0.42
MLP_s113_a0.05_lr0.0005,0.6862,0.6957,0.627,0.6905,0.45
MLP_s42_a0.01_lr0.0005,0.6862,0.6957,0.5952,0.6905,0.44
K110|tomek|a0.05|s13,0.6862,0.6957,0.6508,0.6905,0.54
MLP_s86_a0.001_lr0.001,0.6862,0.6957,0.5476,0.6905,0.43
MLP_s221_a0.001_lr0.001,0.6862,0.6957,0.6349,0.6905,0.46
MLP_s221_a0.05_lr0.001,0.6862,0.6957,0.6349,0.6905,0.46
K60|enn|a0.001|s13,0.6862,0.6957,0.6508,0.6905,0.48
MLP_s221_a0.01_lr0.001,0.6862,0.6957,0.6349,0.6905,0.46
K120|smote|a0.001|s99,0.6862,0.6957,0.7063,0.6905,0.44
K120|smote|a0.01|s99,0.6862,0.6957,0.7063,0.6905,0.44
MLP_s223_a0.001_lr0.001,0.6862,0.6957,0.6429,0.6905,0.44
K60|enn|a0.01|s13,0.6862,0.6957,0.6587,0.6905,0.48
MLP_s207_a0.001_lr0.001,0.6862,0.6957,0.6111,0.6905,0.34
MLP_s164_a0.05_lr0.001,0.6862,0.6957,0.5635,0.6905,0.41
MLP_s164_a0.01_lr0.001,0.6862,0.6957,0.5635,0.6905,0.41
MLP_s2_a0.05_lr0.001,0.6862,0.6957,0.6349,0.6905,0.47
MLP_s164_a0.001_lr0.001,0.6862,0.6957,0.5556,0.6905,0.41
MLP_s2_a0.001_lr0.001,0.6862,0.6957,0.6349,0.6905,0.47
MLP_s2_a0.01_lr0.001,0.6862,0.6957,0.6349,0.6905,0.47
MLP_s239_a0.05_lr0.0005,0.6734,0.6957,0.627,0.6706,0.48
K60|enn|a0.05|s76,0.6734,0.6957,0.5714,0.6706,0.66
K90|adasyn|a0.01|s13,0.6734,0.6957,0.6111,0.6706,0.53
K130|adasyn|a0.001|s13,0.6734,0.6957,0.5952,0.6706,0.51
K60|enn|a0.001|s76,0.6734,0.6957,0.5714,0.6706,0.66
K120|enn|a0.05|s76,0.6734,0.6957,0.6587,0.6706,0.51
K120|enn|a0.01|s76,0.6734,0.6957,0.6587,0.6706,0.51
K120|enn|a0.001|s76,0.6734,0.6957,0.6587,0.6706,0.51
MLP_s135_a0.01_lr0.0005,0.6734,0.6957,0.6349,0.6706,0.38
MLP_s135_a0.01_lr0.001,0.6734,0.6957,0.6111,0.6706,0.37
MLP_s135_a0.05_lr0.001,0.6734,0.6957,0.6032,0.6706,0.38
MLP_s134_a0.01_lr0.001,0.6734,0.6957,0.627,0.6706,0.58
K150|border|a0.001|s0,0.6734,0.6957,0.5714,0.6706,0.39
K200|adasyn|a0.001|s0,0.6734,0.6957,0.5794,0.6706,0.52
K110|border|a0.001|s0,0.6734,0.6957,0.6984,0.6706,0.52
K200|enn|a0.01|s76,0.6734,0.6957,0.6905,0.6706,0.5
K90|adasyn|a0.05|s13,0.6734,0.6957,0.6111,0.6706,0.53
MLP_s237_a0.01_lr0.0005,0.6734,0.6957,0.6508,0.6706,0.45
MLP_s237_a0.05_lr0.0005,0.6734,0.6957,0.6429,0.6706,0.45
MLP_s246_a0.05_lr0.0005,0.6734,0.6957,0.5635,0.6706,0.5
K90|adasyn|a0.001|s13,0.6734,0.6957,0.6111,0.6706,0.53
K60|enn|a0.01|s76,0.6734,0.6957,0.5714,0.6706,0.66
K100|border|a0.05|s0,0.6734,0.6957,0.6746,0.6706,0.47
K200|enn|a0.05|s76,0.6734,0.6957,0.6905,0.6706,0.5
MLP_s128_a0.05_lr0.0005,0.6734,0.6957,0.5873,0.6706,0.47
K130|adasyn|a0.01|s13,0.6734,0.6957,0.5952,0.6706,0.51
K130|adasyn|a0.05|s13,0.6734,0.6957,0.5952,0.6706,0.51
K100|border|a0.001|s0,0.6734,0.6957,0.6746,0.6706,0.47
MLP_s128_a0.001_lr0.0005,0.6734,0.6957,0.5952,0.6706,0.47
MLP_s128_a0.01_lr0.0005,0.6734,0.6957,0.5873,0.6706,0.47
K200|adasyn|a0.05|s0,0.6734,0.6957,0.5794,0.6706,0.53
K200|adasyn|a0.01|s0,0.6734,0.6957,0.5794,0.6706,0.52
K100|adasyn|a0.05|s76,0.6734,0.6957,0.5635,0.6706,0.54
K200|tomek|a0.05|s0,0.6734,0.6957,0.5952,0.6706,0.59
K100|border|a0.01|s0,0.6734,0.6957,0.6746,0.6706,0.47
MLP_s237_a0.001_lr0.0005,0.6734,0.6957,0.6508,0.6706,0.45
MLP_s63_a0.01_lr0.001,0.6734,0.6957,0.5476,0.6706,0.51
K110|border|a0.05|s99,0.6734,0.6957,0.627,0.6706,0.49
MLP_s164_a0.001_lr0.0005,0.6734,0.6957,0.5714,0.6706,0.43
MLP_s207_a0.001_lr0.0005,0.6734,0.6957,0.6111,0.6706,0.42
K200|tomek|a0.01|s0,0.6734,0.6957,0.5952,0.6706,0.59
K200|enn|a0.001|s76,0.6734,0.6957,0.6905,0.6706,0.5
MLP_s66_a0.01_lr0.0005,0.6734,0.6957,0.5873,0.6706,0.51
K150|border|a0.01|s0,0.6734,0.6957,0.5635,0.6706,0.4
K150|adasyn|a0.001|s76,0.6734,0.6957,0.619,0.6706,0.51
K150|border|a0.05|s0,0.6734,0.6957,0.5714,0.6706,0.39
MLP_s146_a0.05_lr0.001,0.6734,0.6957,0.6111,0.6706,0.4
K150|adasyn|a0.01|s0,0.6734,0.6957,0.5794,0.6706,0.34
K110|border|a0.05|s0,0.6734,0.6957,0.6984,0.6706,0.52
K110|border|a0.01|s99,0.6734,0.6957,0.627,0.6706,0.49
K110|border|a0.01|s0,0.6734,0.6957,0.6984,0.6706,0.52
K110|border|a0.001|s99,0.6734,0.6957,0.627,0.6706,0.49
MLP_s207_a0.01_lr0.0005,0.6734,0.6957,0.6111,0.6706,0.43
MLP_s134_a0.05_lr0.001,0.6734,0.6957,0.627,0.6706,0.58
K150|adasyn|a0.05|s0,0.6734,0.6957,0.5714,0.6706,0.34
MLP_s135_a0.001_lr0.0005,0.6734,0.6957,0.6349,0.6706,0.38
K100|adasyn|a0.001|s76,0.6734,0.6957,0.5635,0.6706,0.54
